Mass,C,H,O,N,S,P,NeutralMass,Error_ppm,MolecularFormula,El_comp,Class,OC,HC,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,X0h100pctP08a_26_1_11402,X0h100pctP14a_4_1_11374,X0h100pctP16b_8_1_11378,X0h50pctP09b_15_1_11389,X0h50pctP10b_40_1_11420,X0h50pctP13b_25_1_11401,X168h100pctP08a.DI_x_x_000001,X168h100pctP08a_17_1_11391,X168h100pctP14a_10_1_11380,X168h100pctP16a_34_1_11412,X168h50pctP09a_18_1_11392,X168h50pctP10a_37_1_11415,X168h50pctP13a_6_1_11376,X24h100pctP08a_21_1_11397,X24h100pctP14a_33_1_11411,X24h100pctP16a_5_1_11375,X24h50pctP09a_22_1_11398,X24h50pctP10a_30_1_11408,X24h50pctP13a_3_1_11373,X3h100pctP08a_38_1_11416,X3h100pctP14a_36_1_11414,X3h100pctP16a_24_1_11400,X3h50pctP09a_19_1_11395,X3h50pctP10a_1_1_11371,X3h50pctP13a_9_1_11379,X48h100pctP08a_13_1_11385,X48h100pctP14a.DI_x_x_000001,X48h100pctP14a_27_1_11403,X48h100pctP16a_32_1_11410,X48h50pctP09a_14_1_11386,X48h50pctP10a_20_1_11396,X48h50pctP13a_35_1_11413,X72h100pctP08a_16_1_11390,X72h100pctP14a_12_1_11384,X72h100pctP16a_11_1_11383,X72h50pctP09a_23_1_11399
727.3699054,40.0,56.0,12.0,0.0,0.0,0.0,728.3771819,-0.006370493,C40H56O12,CHO,Lignin,0.3,1.4,-0.7999999999999998,83.1,13.0,,0.03571428571428571,0.20588235294117646,,0.000456860394589929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002912278874250454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001999193330539261,0.0,0.0,0.002816587464669606,0.0,0.0,0.0,0.0,0.0,0.004325099700022048,0.0,0.0,0.0,0.0,0.0
727.3910794,37.0,60.0,14.0,0.0,0.0,0.0,728.3983559,-0.0676206,C37H60O14,CHO,Protein,0.3783783783783784,1.6216216216216217,-0.8648648648648649,84.94864864864864,8.0,-6.0,-0.2608695652173913,0.03333333333333333,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017870307985748146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002490006826982062,0.0,0.0,0.0,0.0,0.0
727.4426029,42.0,64.0,10.0,0.0,0.0,0.0,728.4498794,0.094601413,C42H64O10,CHO,Lipid,0.23809523809523808,1.5238095238095237,-1.0476190476190474,90.15714285714284,11.0,,0.03125,0.16216216216216217,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001150570815368445,0.0,0.0,0.001510830691795341,0.0,0.0,0.0,0.0,0.0,0.0011320283733137876,0.0,0.0,0.001897262905905506,0.0,0.0,0.0,0.0,0.0018698947163953582,0.0,0.001670922548877337,0.0,0.0,0.0,0.0,0.0,0.0
728.2101954,24.0,43.0,24.0,1.0,0.0,0.0,729.2174719,0.040402288,C24H43O24N,CHON,Carbohydrate,1.0,1.7916666666666667,0.3333333333333335,50.8,4.0,-20.0,21.0,0.0,-21.0,0.005918628704071145,0.0009817478732086012,0.0,0.0,0.0008547630138276771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062010328485783694,0.002200338874389684,0.0,0.0,0.0009411576029033177,0.0,0.002212566827105866,0.0,0.0,0.0,0.0,0.0,0.0,0.0012484178518866638,0.0,0.0,0.0,0.0,0.0,0.0
728.4377706,41.0,63.0,10.0,1.0,0.0,0.0,729.4450471,0.205894389,C41H63O10N,CHON,Lipid,0.24390243902439024,1.5365853658536586,-0.975609756097561,88.10487804878048,11.0,,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016344269505812687,0.0,0.0,0.0,0.0,0.004707634743039245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729.2188561,39.0,38.0,14.0,0.0,0.0,0.0,730.2261326,0.031965578,C39H38O14,CHO,Lignin,0.358974358974359,0.9743589743589743,-0.2564102564102564,67.6076923076923,21.0,7.0,0.28,0.4375,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003614441591767043,0.0,0.0,0.0,0.0,0.0,0.0024824466220712696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729.230691,25.0,46.0,24.0,0.0,0.0,0.0,730.2379674,-0.089060831,C25H46O24,CHO,Carbohydrate,0.96,1.84,0.08000000000000007,58.019999999999996,3.0,-21.0,-21.0,0.0,-21.0,0.006512507091499721,0.008146950783846571,0.00652299795501602,0.003428626029676816,0.007406081312679376,0.006634681305173469,0.004040101111941239,0.0,0.0026694629957720213,0.003388451539951357,0.004951151807176683,0.0033806671953629268,0.0005070592055648176,0.00358510786494078,0.00281604110248723,0.0027361383260629713,0.0017955566889078431,0.004260625541030411,0.00225559215753584,0.0035152465401990223,0.0011728911410380071,0.0026294929013032783,0.009204043452339558,0.0036501160570191903,0.002918719790945125,0.00327321029278166,0.003409014991468944,0.002681653846523796,0.0031495878077501026,0.0036281811760640534,0.0025267732232494185,0.0038942124260068927,0.0034114313854023233,0.00295130695188531,0.005661755088290848,0.004510375802446033
729.2823389,30.0,50.0,20.0,0.0,0.0,0.0,730.2896153,-0.097597478,C30H50O20,CHO,Amino sugar,0.6666666666666666,1.6666666666666667,-0.33333333333333304,69.79999999999998,6.0,-14.0,-1.4,0.0,-14.0,0.0012452283128428579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025573927318794674,0.01321973321458262,0.0,0.0,0.0005831890438145226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729.3128025,38.0,50.0,14.0,0.0,0.0,0.0,730.3200789,-0.030960679,C38H50O14,CHO,Lignin,0.3684210526315789,1.3157894736842106,-0.5789473684210522,76.79999999999998,14.0,0.0,0.0,0.22580645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012106004028015946,0.0,0.0,0.002485717546214256,0.0,0.0,0.0,0.0,0.0022339612171995388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729.3185884,31.0,54.0,19.0,0.0,0.0,0.0,730.3258649,0.088543651,C31H54O19,CHO,Amino sugar,0.6129032258064516,1.7419354838709677,-0.516129032258065,75.00967741935484,5.0,-14.0,-1.1666666666666667,0.0,-14.0,0.0006984274940384681,0.0,0.0010545317727245133,0.0,0.0008867987357224068,0.0009131761581809046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006180600298511934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001348584874532855,0.0,0.0,0.0,0.0,0.0,0.0
