"","taxonID","trt.code.2","moisture","taxonomy","b.boot.median","d.boot.median"
"622","sip441","t72_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp6;o_Gp6;f_Gp6;g_Gp6",163266.355212166,0
"623","sip441","t48_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp6;o_Gp6;f_Gp6;g_Gp6",132263.512106664,0
"624","sip442","t72_18O","50","d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_unclassified_Betaproteobacteria;f_unclassified_Betaproteobacteria;g_unclassified_Betaproteobacteria",181942.555222799,0
"625","sip442","t168_18O","50","d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_unclassified_Betaproteobacteria;f_unclassified_Betaproteobacteria;g_unclassified_Betaproteobacteria",61876.1195105956,0
"626","sip4462","t48_18O","50","d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_unclassified_Deltaproteobacteria;f_unclassified_Deltaproteobacteria;g_unclassified_Deltaproteobacteria",0,0
"627","sip448","t3_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",0,0
"628","sip448","t24_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",1688954.45590441,0
"629","sip448","t168_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",250958.773767436,-40520.166356078
"630","sip448","t72_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",275481.921691128,0
"631","sip448","t48_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",407160.356197031,0
"632","sip4596","t72_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Micrococcaceae;g_Micrococcus",0,0
"633","sip4596","t168_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Micrococcaceae;g_Micrococcus",0,0
"634","sip4596","t3_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Micrococcaceae;g_Micrococcus",0,0
"635","sip4596","t48_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Micrococcaceae;g_Micrococcus",0,0
"636","sip4596","t24_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Micrococcaceae;g_Micrococcus",0,0
"637","sip46","t72_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Pseudonocardiaceae;g_Pseudonocardia",128957.93808936,0
"638","sip46","t3_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Pseudonocardiaceae;g_Pseudonocardia",4988284.51392528,0
"639","sip46","t168_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Pseudonocardiaceae;g_Pseudonocardia",37938.7329736499,-98637.8224544911
"640","sip46","t24_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Pseudonocardiaceae;g_Pseudonocardia",169919.896266748,0
"641","sip46","t48_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Pseudonocardiaceae;g_Pseudonocardia",170802.566656055,0
"642","sip463","t24_18O","50","d_Bacteria;p_Gemmatimonadetes;c_Gemmatimonadetes;o_Gemmatimonadales;f_Gemmatimonadaceae;g_Gemmatimonas",112006.845164131,0
"643","sip463","t72_18O","50","d_Bacteria;p_Gemmatimonadetes;c_Gemmatimonadetes;o_Gemmatimonadales;f_Gemmatimonadaceae;g_Gemmatimonas",45123.2840124725,0
"644","sip463","t168_18O","50","d_Bacteria;p_Gemmatimonadetes;c_Gemmatimonadetes;o_Gemmatimonadales;f_Gemmatimonadaceae;g_Gemmatimonas",99694.2781539908,0
"645","sip464","t3_18O","50","d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Adhaeribacter",676964.180678805,0
"646","sip464","t24_18O","50","d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Adhaeribacter",2768415.29154341,0
"647","sip464","t168_18O","50","d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Adhaeribacter",359837.65110998,0
"648","sip464","t72_18O","50","d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Adhaeribacter",1220938.37686883,0
"649","sip464","t48_18O","50","d_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Cytophagaceae;g_Adhaeribacter",1072162.82053254,0
"650","sip468","t168_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp3;o_Gp3;f_Gp3;g_Gp3",22907.4032799887,0
"651","sip468","t48_18O","50","d_Bacteria;p_Acidobacteria;c_Acidobacteria_Gp3;o_Gp3;f_Gp3;g_Gp3",12411.8480862228,0
"652","sip47","t3_18O","50","d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales;f_unclassified_Myxococcales;g_unclassified_Myxococcales",0,0
"653","sip47","t24_18O","50","d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales;f_unclassified_Myxococcales;g_unclassified_Myxococcales",23138.0395160004,0
"654","sip47","t168_18O","50","d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales;f_unclassified_Myxococcales;g_unclassified_Myxococcales",38646.3000141053,0
"655","sip47","t48_18O","50","d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales;f_unclassified_Myxococcales;g_unclassified_Myxococcales",0,0
"656","sip47","t72_18O","50","d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales;f_unclassified_Myxococcales;g_unclassified_Myxococcales",0,0
"657","sip4736","t168_18O","50","d_Bacteria;p_Planctomycetes;c_Planctomycetia;o_Planctomycetales;f_Planctomycetaceae;g_unclassified_Planctomycetaceae",0,-59738.103607065
"658","sip478","t48_18O","50","d_Bacteria;p_Actinobacteria;c_unclassified_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria",0,0
"659","sip478","t72_18O","50","d_Bacteria;p_Actinobacteria;c_unclassified_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria",121890.307203479,0
"660","sip478","t168_18O","50","d_Bacteria;p_Actinobacteria;c_unclassified_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria",37594.2271378416,0
"661","sip478","t24_18O","50","d_Bacteria;p_Actinobacteria;c_unclassified_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria",286450.586063292,0
"662","sip478","t3_18O","50","d_Bacteria;p_Actinobacteria;c_unclassified_Actinobacteria;o_unclassified_Actinobacteria;f_unclassified_Actinobacteria;g_unclassified_Actinobacteria",2044203.63597053,0
"663","sip48","t24_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",621218.747779635,0
"664","sip48","t168_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",127486.060175217,-751579.57197612
"665","sip48","t48_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",0,-419149.065163803
"666","sip48","t72_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",402341.453224069,0
"667","sip48","t3_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",0,-7997472.11614105
"668","sip486","t24_18O","50","d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Planococcaceae;g_Lysinibacillus",0,0
"669","sip486","t168_18O","50","d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Planococcaceae;g_Lysinibacillus",58706.8477870142,0
"670","sip4860","t72_18O","50","d_Bacteria;p_Bacteroidetes;c_unclassified_Bacteroidetes;o_unclassified_Bacteroidetes;f_unclassified_Bacteroidetes;g_unclassified_Bacteroidetes",0,0
"671","sip4860","t48_18O","50","d_Bacteria;p_Bacteroidetes;c_unclassified_Bacteroidetes;o_unclassified_Bacteroidetes;f_unclassified_Bacteroidetes;g_unclassified_Bacteroidetes",0,0
"672","sip4860","t168_18O","50","d_Bacteria;p_Bacteroidetes;c_unclassified_Bacteroidetes;o_unclassified_Bacteroidetes;f_unclassified_Bacteroidetes;g_unclassified_Bacteroidetes",0,0
"673","sip4860","t3_18O","50","d_Bacteria;p_Bacteroidetes;c_unclassified_Bacteroidetes;o_unclassified_Bacteroidetes;f_unclassified_Bacteroidetes;g_unclassified_Bacteroidetes",0,0
"674","sip4860","t24_18O","50","d_Bacteria;p_Bacteroidetes;c_unclassified_Bacteroidetes;o_unclassified_Bacteroidetes;f_unclassified_Bacteroidetes;g_unclassified_Bacteroidetes",0,0
"675","sip489","t168_18O","50","d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_unclassified_Rhizobiales;g_unclassified_Rhizobiales",75523.7064708824,0
"676","sip49","t24_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",243944.236759283,0
"677","sip49","t72_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",232511.365395632,0
"678","sip49","t48_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",0,-188836.880091618
"679","sip49","t168_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",0,-461231.739007864
"680","sip49","t3_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Solirubrobacterales;f_unclassified_Solirubrobacterales;g_unclassified_Solirubrobacterales",345289.99533397,-7087506.7137374
"681","sip493","t168_18O","50","d_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Chitinophagaceae;g_Segetibacter",55272.1139386781,0
"682","sip493","t48_18O","50","d_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Chitinophagaceae;g_Segetibacter",93992.9138693648,0
"683","sip493","t24_18O","50","d_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Chitinophagaceae;g_Segetibacter",0,0
"684","sip5","t3_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter",957950.460673598,0
"685","sip5","t168_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter",0,0
"686","sip5","t48_18O","50","d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter",0,0
"687","sip5078","t168_18O","50","d_Bacteria;p_unclassified_Bacteria;c_unclassified_Bacteria;o_unclassified_Bacteria;f_unclassified_Bacteria;g_unclassified_Bacteria",13095.0474007025,0
