"","phylum","time_moisture","b.boot.median","d.boot.median"
"96","p_Proteobacteria","x50_t168",25581829.003489,-294646.902465507
"97","p_Proteobacteria","x50_t24",74919408.7317411,0
"98","p_Proteobacteria","x50_t3",41947960.642109,-3773916.87727225
"99","p_Proteobacteria","x50_t48",NA,-1218463.456978
"100","p_Proteobacteria","x50_t72",50203319.4743541,0
"101","p_Thaumarchaeota","x100_t168",0,-71844.2619764265
"102","p_Thaumarchaeota","x100_t24",830343.796955422,0
"103","p_Thaumarchaeota","x100_t3",2687159.4030268,-14060558.8286626
"104","p_Thaumarchaeota","x100_t48",280269.295038992,0
"105","p_Thaumarchaeota","x100_t72",164217.54113699,-130930.571981666
"106","p_Thaumarchaeota","x50_t168",168419.571569559,0
"107","p_Thaumarchaeota","x50_t24",341367.36716125,0
"108","p_Thaumarchaeota","x50_t3",0,0
"109","p_Thaumarchaeota","x50_t48",0,0
"110","p_Thaumarchaeota","x50_t72",451666.876577451,0
"111","p_Verrucomicrobia","x100_t168",2670070.77313895,-4731807.05509521
"112","p_Verrucomicrobia","x100_t24",2027433.8254553,-6345851.97742349
"113","p_Verrucomicrobia","x100_t3",37497009.999475,-210216440.417821
"114","p_Verrucomicrobia","x100_t48",6737670.77576426,-12503346.6833976
"115","p_Verrucomicrobia","x100_t72",3696618.43697442,-8251624.83003185
"116","p_Verrucomicrobia","x50_t168",1453510.40984198,-184421.945296881
"117","p_Verrucomicrobia","x50_t24",4544452.47474369,0
"118","p_Verrucomicrobia","x50_t3",11309527.9823004,-6439516.77541637
"119","p_Verrucomicrobia","x50_t48",2246990.37813594,-765563.453067676
"120","p_Verrucomicrobia","x50_t72",2080168.44291972,0
"121","p_candidate division WPS-1","x100_t168",131417.356916738,-1457368.84961358
"122","p_candidate division WPS-1","x100_t24",0,-2486810.66755548
"123","p_candidate division WPS-1","x100_t3",11391687.1349663,-45580174.4275978
"124","p_candidate division WPS-1","x100_t48",686980.256060326,-2514574.3466484
"125","p_candidate division WPS-1","x100_t72",16946.5115455915,-1954646.63474909
"126","p_candidate division WPS-1","x50_t168",143029.990552993,-47374.5675219978
"127","p_candidate division WPS-1","x50_t24",935354.950210753,0
"128","p_candidate division WPS-1","x50_t3",0,0
"129","p_candidate division WPS-1","x50_t48",0,0
"130","p_candidate division WPS-1","x50_t72",109155.102829756,-1060.3018607295
"131","p_unclassified_Bacteria","x100_t168",2937197.47161377,-9064592.20335336
"132","p_unclassified_Bacteria","x100_t24",2055396.72578527,-23982882.1725907
"133","p_unclassified_Bacteria","x100_t3",49537182.4220886,-384130752.563817
"134","p_unclassified_Bacteria","x100_t48",5951182.11554378,-21229954.8287727
"135","p_unclassified_Bacteria","x100_t72",NA,-16072081.7966242
"136","p_unclassified_Bacteria","x50_t168",1111639.09986432,-291771.564133159
"137","p_unclassified_Bacteria","x50_t24",4468424.10678958,-783151.437417275
"138","p_unclassified_Bacteria","x50_t3",6459614.73931088,-10916145.2417381
"139","p_unclassified_Bacteria","x50_t48",1092211.61718477,-1010232.97705808
"140","p_unclassified_Bacteria","x50_t72",2447180.38758472,-9775.9707732526
