taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip5364	T0.1	t0_16O	t3_16O	2397553.11601253	2459365.86280731	2442238.57163811	-27780368.9094281	26578447.2144061	39959.2186002088	40989.4310467886	40703.9761939685	-463006.148490468	442974.120240102	7749956.69898342	7731262.57464192	7749956.69898342	5467134.2949632	11522196.9521635	8049650.83848499	8038683.30749283	8049650.83848499	6300018.25502038	9059494.06367062	none
sip5365	T0.1	t0_16O	t3_16O	21385972.4983494	21128401.7078013	21385972.4983494	-6080943.1454069	48852888.1421057	356432.87497249	352140.028463355	356432.87497249	-101349.052423448	814214.802368429	5251209.46789825	5262498.03125878	5251209.46789825	3846249.19389763	7099745.48048211	7924456.03019193	7903548.24473395	7924456.03019193	4430158.21296645	10273321.7234666	none
sip5366	T0.1	t0_16O	t3_16O	4162941.97763348	4264656.38003372	4162941.97763348	-18208155.8204069	26534039.7756738	69382.3662938913	71077.6063338954	69382.3662938913	-303469.263673448	442233.996261231	5410567.73807715	5396971.74115944	5410567.73807715	3418732.57073343	7538301.10631297	5930935.48528133	5930053.78866366	5930935.48528133	4028176.85340151	7354133.19817653	none
sip5367	T0.1	t0_16O	t3_16O	31554716.9656229	31468884.503394	31554716.9656229	-14239197.6215585	82623739.5050709	525911.949427048	524481.408389899	525911.949427048	-237319.960359308	1377062.32508452	9364604.25376602	9349984.95313346	9364604.25376602	6478784.25379728	11344389.6968654	13308943.8744689	13283595.5160577	13308943.8744689	8602010.0071812	17411314.7168439	none
sip5368	T0.1	t0_16O	t3_16O	-42723069.6192727	-43020231.7728394	-43226574.7259642	-97725436.0921328	25132452.174799	-712051.160321211	-717003.862880656	-720442.912099404	-1628757.26820221	418874.202913316	16480450.1276787	16506588.2024633	16480450.1276787	7998509.9034197	23497725.5223826	11140066.4252696	11129059.2308584	11140066.4252696	9431175.82248304	14352929.9069097	none
sip5369	T0.1	t0_16O	t3_16O	-3034444.76461719	-2984151.70745516	-3034444.76461719	-18981268.6013948	12893079.8323427	-50574.0794102865	-49735.8617909193	-50574.0794102865	-316354.476689912	214884.663872378	5093417.09711722	5082220.62532846	5093417.09711722	3580371.65905203	7081963.47875305	4714111.50154007	4709201.66189656	4714111.50154007	3791477.80808117	5537854.80292639	none
sip5370	T0.1	t0_16O	t3_16O	3542721.87648344	3626274.90082942	3542721.87648344	-15670161.4444646	21897423.1808974	59045.3646080573	60437.9150138237	59045.3646080573	-261169.357407743	364957.053014956	3112016.94443765	3105751.25267356	3112016.94443765	2266824.43946944	4227670.19124827	3554857.17899808	3559035.61527724	3554857.17899808	961669.509504312	5195579.59145688	none
sip5371	T0.1	t0_16O	t3_16O	-10771842.0483159	-10675198.1908754	-10716568.3689363	-32611130.9036264	1445636.21162977	-179530.700805265	-177919.969847923	-178609.472815605	-543518.848393773	24093.9368604961	4353767.59573041	4341338.53801012	4353767.59573041	2954981.90548118	7082761.76539112	3007287.33969093	3006938.7641507	3007287.33969093	2805533.26719865	3172363.92205905	none
sip5372	T0.1	t0_16O	t3_16O	-9088805.46467056	-9076843.71002517	-9088805.46467056	-39336858.4194316	21159247.4900905	-151480.091077843	-151280.728500419	-151480.091077843	-655614.306990526	352654.124834841	5128077.63344855	5120628.04030851	5128077.63344855	2936881.76999154	8195954.46902235	3991976.95036473	3986022.57655536	3991976.95036473	1642030.09308322	6019959.33669959	none
sip5373	T0.1	t0_16O	t3_16O	-33677804.4888903	-33468519.9434307	-33495717.0066229	-105697226.072928	13521061.2150543	-561296.741481506	-557808.665723844	-558261.950110382	-1761620.4345488	225351.020250905	13075309.8673766	13057610.4083872	13075309.8673766	7037039.03390256	22742029.8247198	8865584.30626526	8874045.41545836	8865584.30626526	8200723.0235446	10172545.9364231	none
sip5374	T0.1	t0_16O	t3_16O	-58446529.3775599	-58326404.8239253	-58446529.3775599	-107742319.355331	-9150739.39978883	-974108.822959332	-972106.747065422	-974108.822959332	-1795705.32258885	-152512.323329814	14317478.6263177	14292550.5538227	14317478.6263177	9330562.02801747	17882352.1235911	7011662.45412275	7001749.95083204	7011662.45412275	3189179.10136581	10323039.5028196	none
sip5375	T0.1	t0_16O	t3_16O	-6198575.39543137	-6435007.31008298	-6198575.39543137	-27773103.4898302	21813718.729304	-103309.589923856	-107250.121834716	-103309.589923856	-462885.058163837	363561.978821733	7224292.21298739	7244148.66815824	7224292.21298739	3722755.44739547	9921108.22478724	6449470.28855847	6439772.75439786	6449470.28855847	5088025.23752202	7978334.14294328	none
sip5376	T0.1	t0_16O	t3_16O	-18967179.697345	-18895395.043858	-18967179.697345	-83982082.1097666	35769867.294515	-316119.661622416	-314923.250730967	-316119.661622416	-1399701.36849611	596164.454908583	14280105.1544218	14253465.5301765	14280105.1544218	7119571.19132339	23321791.8010073	11909207.6922536	11891541.1496942	11909207.6922536	9205015.71080951	13350598.3630082	none
sip5377	T0.1	t0_16O	t3_16O	16176489.0210248	16156204.3888493	16176489.0210248	-21085953.9961298	51027224.7488799	269608.150350413	269270.073147488	269608.150350413	-351432.566602163	850453.745814665	6722606.83762517	6715089.67281413	6722606.83762517	3708175.01477099	12113627.1267622	8744667.96525327	8734615.22142029	8744667.96525327	6888679.95877269	10343054.7048741	none
sip5378	T0.1	t0_16O	t3_16O	-33050331.3287508	-33208707.8482589	-33050331.3287508	-55853609.5676587	-10247053.0898428	-550838.855479179	-553478.464137648	-550838.855479179	-930893.492794312	-170784.218164046	12351456.0749402	12357423.1833458	12351456.0749402	9963829.41118358	14647702.8486748	8220164.65884639	8206334.70231341	8220164.65884639	6008000.60446061	9509283.29287947	none
sip5379	T0.1	t0_16O	t3_16O	4672358.88919996	4738848.43443512	4672358.88919996	-7870870.91805168	13711099.9725974	77872.6481533327	78980.8072405853	77872.6481533327	-131181.181967528	228518.332876623	4767037.97540394	4758264.55807003	4767037.97540394	3632791.14820735	6420615.58228583	5351082.83655393	5350620.61237442	5351082.83655393	5150515.01248875	5664347.83753	none
sip5380	T0.1	t0_16O	t3_16O	-19736641.225062	-19694424.5822203	-19736641.225062	-54392102.6128813	10504990.5535263	-328944.020417701	-328240.409703672	-328944.020417701	-906535.043548022	175083.175892105	10334994.3780986	10320533.6220495	10334994.3780986	6448069.97467656	15243025.7953988	7867914.22496581	7858730.54927191	7867914.22496581	6479668.83308104	8722117.56755589	none
sip5383	T0.1	t0_16O	t3_16O	-5746521.13552626	-5791889.88005524	-5746521.13552626	-37475376.9163516	21021473.3755269	-95775.352258771	-96531.4980009206	-95775.352258771	-624589.615272526	350357.889592115	7046689.63590054	7039668.93789401	7046689.63590054	4596651.07789639	11037929.2274001	6328374.49395975	6315682.7028871	6328374.49395975	4509360.23785783	8106080.02999904	none
sip5384	T0.1	t0_16O	t3_16O	37740475.4155161	37643252.5430411	37740475.4155161	14565290.1789844	61075834.2825738	629007.923591935	627387.542384018	629007.923591935	242754.836316406	1017930.57137623	3620393.39655176	3622717.00034399	3620393.39655176	1096572.5661588	4912336.36747186	8337952.82349127	8328123.56822413	8337952.82349127	6492421.44336927	9982951.41476913	none
sip5386	T0.1	t0_16O	t3_16O	19042605.047301	18910704.167015	18757543.1646513	-4209787.27648829	50397228.2183325	317376.75078835	315178.402783583	312625.719410854	-70163.1212748048	839953.803638875	3919327.89637894	3932707.29465965	3919327.89637894	0	6861509.67218381	6299653.52729156	6296545.31553652	6299653.52729156	5897764.7821617	6996532.81155766	Warning: no occurrences in rep rB_t0_16O (t0_16O)
