taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip1	T0.16	t3_18O	t24_18O	16952017.728844	16858987.7062137	16952017.728844	1409414.33017297	32442703.7705309	282533.628814067	280983.128436895	282533.628814067	23490.2388362162	540711.729508848	4233080.6849457	4217725.7705356	4233080.6849457	1458349.00596093	6514060.35887257	19066096.1976842	18969340.0134726	19066096.1976842	4036242.30310764	32620446.4841602	none
sip3	T0.16	t3_18O	t24_18O	10230767.0956064	10119052.2901835	10230767.0956064	-8145912.42474187	28238222.0436821	170512.784926773	168650.871503059	170512.784926773	-135765.207079031	470637.034061368	15317384.6111641	15310634.3462885	15317384.6111641	8089993.30627553	20912181.9355592	24269305.8198196	24164805.1001991	24269305.8198196	7584986.15264076	38070163.4181541	none
sip5	T0.16	t3_18O	t24_18O	-345144.863245203	-349557.750194923	-345144.863245203	-844386.573423225	69172.3096176658	-5752.41438742005	-5825.96250324871	-5752.41438742005	-14073.1095570537	1152.8718269611	1960645.79671602	1961883.10659319	1960645.79671602	1832927.12152211	2163204.03455915	1658644.04137647	1656020.07517263	1658644.04137647	1166408.71603046	1940473.74071868	none
sip7	T0.16	t3_18O	t24_18O	9059593.01736269	8980323.23777552	9059593.01736269	-3406708.92253858	18830069.9687619	150993.216956045	149672.053962925	150993.216956045	-56778.4820423096	313834.499479365	7806498.07448459	7807459.38117736	7806498.07448459	4590048.26672739	10076083.6749331	15733641.9646769	15665242.2142309	15733641.9646769	3512302.80376935	22351047.9998469	none
sip8	T0.16	t3_18O	t24_18O	28657906.8331149	28488783.3911359	28657906.8331149	-4427504.95854552	58048302.9600065	477631.780551915	474813.056518931	477631.780551915	-73791.749309092	967471.716000108	32571325.3577024	32585911.8463657	32571325.3577024	21636393.0976517	39658415.9531126	57646993.836678	57513597.3136096	57646993.836678	28340294.5467837	84210481.9213534	none
sip9	T0.16	t3_18O	t24_18O	7047599.06063626	6986630.7527142	7047599.06063626	-1720550.69086087	16022082.4345723	117459.984343938	116443.84587857	117459.984343938	-28675.8448476811	267034.707242872	5970911.24645397	5968969.05810978	5970911.24645397	4498524.29879681	7142201.17221738	12137560.4245107	12082270.9667347	12137560.4245107	3602763.91362841	19982705.9511574	none
sip13	T0.16	t3_18O	t24_18O	204780436.543789	203866878.731308	199219773.215116	27910206.9900994	432301022.96965	3413007.27572982	3397781.31218847	3320329.55358526	465170.116501656	7205017.04949417	45754419.2512726	45938256.3702055	45754419.2512726	24876144.9159203	72914226.6842096	224937301.227088	224321775.2601	224937301.227088	59028736.8574355	435164927.859891	none
sip15	T0.16	t3_18O	t24_18O	5482780.94597213	5454291.43961272	5482780.94597213	-1906456.12703085	13577228.8502077	91379.6824328688	90904.8573268787	91379.6824328688	-31774.2687838476	226287.147503462	2896471.40158464	2879837.8151758	2896471.40158464	46.6640044843304	5075741.89884912	7693904.72931025	7652342.82483693	7693904.72931025	1915044.2882927	14773980.1131321	none
sip16	T0.16	t3_18O	t24_18O	224196332.350548	223261995.739097	218828166.761169	29086452.8755609	476765942.495321	3736605.53917579	3721033.26231829	3647136.11268616	484774.214592681	7946099.04158868	47814372.413112	47970066.5969888	47814372.413112	29334157.650837	70683367.2655442	243986163.219841	243324312.868699	243986163.219841	64179093.6983646	474070497.077381	none
sip17	T0.16	t3_18O	t24_18O	12210332.5654268	12109163.6798521	12210332.5654268	-4568654.38501918	26519892.0590807	203505.542757114	201819.394664201	203505.542757114	-76144.2397503197	441998.200984679	8860096.95725641	8851083.18436511	8860096.95725641	5591945.22469288	11721193.9247359	19544137.9520049	19446601.4042357	19544137.9520049	3558524.50857193	31657947.743868	none
