taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip5556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-147359.800193367	-148057.580756382	-147359.800193367	-427022.737579682	116104.219297792	-2455.99666988945	-2467.6263459397	-2455.99666988945	-7117.04562632804	1935.07032162986	1255264.3265408	1262350.39713341	1255264.3265408	634216.525289419	2373916.07608606	665825.125767331	670120.074107877	665825.125767331	45.4974043889124	1298470.32754416	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5560	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-399413.263801053	-400438.22824228	-399413.263801053	-634040.816095672	-98003.8961129232	-6656.88773001755	-6673.97047070467	-6656.88773001755	-10567.3469349279	-1633.39826854872	2021488.50893081	2027114.56595377	2021488.50893081	636352.771354862	2728308.72316271	423835.453726595	425361.652984653	423835.453726595	45.4974043889124	723620.173131977	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5561	NA	NA	NA	NA	NA	NA	NA	NA	-6300.84418747817	-6470.76564914528	-6534.81234894131	-19086.7779162808	5008.61043920529	-105.014069791303	-107.846094152421	-108.913539149022	-318.112965271347	83.4768406534216	NA	T0.19	t72_18O	t168_18O	-190274.423849849	-192256.106348185	-190274.423849849	-437586.794331648	88527.4022250886	-3171.24039749748	-3204.26843913642	-3171.24039749748	-7293.1132388608	1475.45670375148	1649876.111663	1653758.84034281	1649876.111663	587402.820802941	2201510.78396149	888778.416263607	884734.41495007	888778.416263607	398429.593195214	1711274.02208133	none	-183973.579662371	-185785.34069904	-188687.072391525	-425939.766396783	89625.6943607478	-3066.22632770618	-3096.422344984	-3144.78453985875	-7098.99610661306	1493.76157267913	NA	NA	NA	NA	NA
sip5562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-117815.480283131	-118671.812973534	-117815.480283131	-246161.018558363	-13953.9668352969	-1963.59133805219	-1977.86354955891	-1963.59133805219	-4102.68364263938	-232.566113921615	624807.189878212	628535.008921347	624807.189878212	258583.138058914	1185073.02176419	153545.268745686	153847.757027209	153545.268745686	45.4974043889124	319893.775073129	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-267930.290703441	-268010.916414383	-267930.290703441	-297879.406766435	-220268.668726125	-4465.50484505735	-4466.84860690638	-4465.50484505735	-4964.65677944058	-3671.14447876876	1071758.24125398	1072080.66286349	1071758.24125398	881104.231204411	1191540.49242795	37.0784402172246	36.9972059627911	37.0784402172246	22.8653622096242	45.4974043889124	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-278900.637094047	-279529.88947894	-278900.637094047	-401116.959537303	-162728.137308948	-4648.34395156745	-4658.83149131567	-4648.34395156745	-6685.28265895506	-2712.13562181579	1115639.62681641	1118156.55512172	1115639.62681641	650957.171690067	1604511.58565338	37.0784402172246	36.9972059627911	37.0784402172246	22.8653622096242	45.4974043889124	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-117581.61536869	-119577.729930199	-123170.520914893	-376829.342669776	192132.273971465	-1959.69358947817	-1992.96216550332	-2052.84201524822	-6280.48904449627	3202.20456619108	1494618.60156901	1500038.60302227	1494618.60156901	35.8729534933877	2272928.26927707	1024292.14009425	1021727.68330147	1024292.14009425	647448.088942223	1423491.81343109	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5575	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-45734.4902574201	-48657.0332248483	-45734.4902574201	-379823.206518353	318069.351367197	-762.241504290335	-810.950553747471	-762.241504290335	-6330.38677530588	5301.15585611994	1193664.5957685	1197616.40959317	1193664.5957685	170166.786372275	1713312.2456284	1010726.63473882	1002988.27669378	1010726.63473882	22.8653622096242	2450144.5109137	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
