taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip1	NA	NA	NA	NA	NA	NA	NA	NA	352626.530799462	365456.517524369	361739.941530168	-308632.850758739	986031.584092163	5877.1088466577	6090.94195873948	6028.9990255028	-5143.88084597899	16433.8597348694	NA	T0.18	t48_18O	t72_18O	29710376.7682895	29655267.174716	29710376.7682895	-17906081.6373065	83056395.2195556	495172.946138159	494254.452911933	495172.946138159	-298434.693955108	1384273.25365926	33524100.2406573	33447869.9414614	33524100.2406573	20597742.5167009	42188135.5515599	63234477.0089469	63103137.1161774	63234477.0089469	17371861.5995555	103654137.736257	none	29357750.2374901	29289810.6571916	29322945.5268507	-17990810.3637694	82385993.4379202	489295.837291501	488163.510953193	488715.758780846	-299846.839396157	1373099.890632	60766091.2933506	60544941.4935069	60298626.7702318	16401459.7490391	106160640.504611
sip3	NA	NA	NA	NA	NA	NA	NA	NA	-208486.97202723	-214063.006756918	-209805.51222541	-422447.329263638	81745.1957902091	-3474.78286712051	-3567.71677928196	-3496.75853709017	-7040.78882106064	1362.41992983682	NA	T0.18	t48_18O	t72_18O	-1963728.52230895	-1854555.57854726	-1446319.73757596	-22739290.1020144	14346080.6935234	-32728.8087051491	-30909.2596424543	-24105.3289595993	-378988.168366907	239101.344892057	30846976.6967869	30761349.9406511	30846976.6967869	20632590.3995404	48574583.3458342	28883248.174478	28906794.3621038	28883248.174478	16138802.6740368	36779448.3900277	none	-1755241.55028172	-1640492.57179034	-1241564.08835981	-22396997.5989992	14605700.2150464	-29254.0258380286	-27341.5428631723	-20692.7348059968	-373283.293316653	243428.33691744	30342656.9786686	30405235.4094022	30477719.7974663	18828731.9549778	39719863.1370555
sip4	NA	NA	NA	NA	NA	NA	NA	NA	-54008.6013453934	-53181.978076777	-48977.0885843133	-310646.585466463	161751.999566471	-900.143355756557	-886.366301279616	-816.284809738555	-5177.44309110771	2695.86665944118	NA	T0.18	t48_18O	t72_18O	1594290.68258605	1652297.45760865	1674416.6558789	-5812453.70581228	8406189.61283751	26571.5113764342	27538.2909601443	27906.9442646484	-96874.2284302046	140103.160213959	10079455.4842522	10063869.6416433	10079455.4842522	5577328.0914074	15343714.6809315	11673746.1668382	11716167.099252	11673746.1668382	5227739.43397244	17669567.1136495	none	1648299.28393145	1705479.43568543	1789578.01559162	-5872320.57311692	8567121.08660828	27471.6547321908	28424.6572614239	29826.3002598604	-97872.0095519487	142785.351443472	12051806.376256	12088440.9457894	12056161.2664395	6478986.429484	17975006.6438882
sip5	NA	NA	NA	NA	NA	NA	NA	NA	-191905.600083637	-190975.839503387	-190371.175850837	-241431.046901772	-143284.412932004	-3198.42666806062	-3182.93065838979	-3172.85293084728	-4023.8507816962	-2388.07354886673	NA	T0.18	t48_18O	t72_18O	-2366229.09843366	-2357679.26976285	-2366229.09843366	-4009956.1111411	-464066.451112696	-39437.151640561	-39294.6544960475	-39437.151640561	-66832.6018523517	-7734.44085187827	4991587.67728491	4981267.91426525	4991587.67728491	3089425.02996395	6003582.51834768	2625358.57885125	2623588.6445024	2625358.57885125	1830573.42888334	3297699.76209745	none	-2174323.49835002	-2166703.43025946	-2189949.45318968	-3792187.06264025	-294548.917414657	-36238.7249725004	-36111.7238376577	-36499.1575531613	-63203.1177106707	-4909.14862357762	3968697.77943671	3960419.52102611	3946369.65508713	3078725.06265618	4959337.57856383
sip7	NA	NA	NA	NA	NA	NA	NA	NA	-77710.4417451099	-80883.24239476	-73905.2607890518	-289030.288012441	104243.253523692	-1295.17402908516	-1348.05403991267	-1231.7543464842	-4817.17146687402	1737.38755872819	NA	T0.18	t48_18O	t72_18O	-5549526.88506102	-5448456.84887069	-5549526.88506102	-15386978.4627027	5275074.38988032	-92492.114751017	-90807.6141478448	-92492.114751017	-256449.641045046	87917.9064980053	22790291.4722287	22731483.0860424	22790291.4722287	11487096.9869016	29881538.7790131	17240764.5871677	17283026.2371717	17240764.5871677	8896438.90509718	22893651.9741524	none	-5471816.44331591	-5367573.60647593	-5514133.20439729	-15380718.512374	5342957.92674257	-91196.9407219318	-89459.5601079321	-91902.2200732882	-256345.308539568	89049.2987790427	17784737.6793835	17849208.933935	17795623.2325559	10295716.9170664	23511107.1559456
sip8	NA	NA	NA	NA	NA	NA	NA	NA	-404564.151116999	-423178.043588136	-408851.97090271	-842361.871097844	174456.305652228	-6742.73585194998	-7052.9673931356	-6814.19951504516	-14039.3645182974	2907.6050942038	NA	T0.18	t48_18O	t72_18O	-27166179.7592447	-26822214.3620979	-27166179.7592447	-70757505.5127675	14686779.9282116	-452769.662654079	-447036.906034966	-452769.662654079	-1179291.75854612	244779.665470193	82174754.0931936	82053695.882585	82174754.0931936	51202013.8094472	118786207.500181	55008574.3339489	55231481.520487	55008574.3339489	23762271.3577689	86952054.9276037	none	-26761615.6081277	-26399036.3185098	-26738071.5199852	-70477901.0300158	14793286.5541842	-446026.926802129	-439983.93864183	-445634.525333087	-1174631.68383359	246554.77590307	57840523.3917679	58193727.825604	57880607.7450847	29384403.9212096	87806893.9969407
sip9	NA	NA	NA	NA	NA	NA	NA	NA	-47084.9894358707	-43931.6684554626	-43941.3947591088	-242703.755039946	111361.1637533	-784.749823931179	-732.194474257711	-732.356579318481	-4045.0625839991	1856.01939588833	NA	T0.18	t48_18O	t72_18O	2090049.53713989	2124182.29880899	2090049.53713989	-14622350.3591511	18824149.9967871	34834.1589523315	35403.0383134832	34834.1589523315	-243705.839319184	313735.833279785	19942421.4924586	19893675.7337308	19942421.4924586	10907316.3475154	24865968.1660981	22032471.0295985	22017858.0325398	22032471.0295985	6458756.40167189	34091986.9863619	none	2137134.52657576	2168113.96726446	2085986.51255577	-14440575.6291862	19060263.0886747	35618.9087762627	36135.2327877409	34766.4418759295	-240676.260486436	317671.051477911	22362065.9556496	22325379.711728	22245924.4064347	7576032.41029923	35879432.3298015
sip11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.18	t48_18O	t72_18O	944599.473592568	945606.771494232	944599.473592568	-934271.753872238	2730000.62250531	15743.3245598761	15760.1128582372	15743.3245598761	-15571.1958978706	45500.0103750886	1381247.42475822	1383505.61685403	1381247.42475822	48.1222545361999	2985048.17573064	2325846.89835079	2329112.38834826	2325846.89835079	850833.685198161	3209718.10799023	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip13	NA	NA	NA	NA	NA	NA	NA	NA	-530021.972673254	-572286.357615107	-525863.367779991	-2038090.41639794	536917.197882572	-8833.69954455424	-9538.10596025178	-8764.38946299986	-33968.1736066323	8948.61996470954	NA	T0.18	t48_18O	t72_18O	-144551872.80706	-143105966.352137	-144551872.80706	-336296537.963755	49332668.6351823	-2409197.88011767	-2385099.43920229	-2409197.88011767	-5604942.29939592	822211.143919705	328580404.313437	327982422.041487	328580404.313437	171772430.716076	520325069.470132	184028531.506377	184876455.68935	184028531.506377	73892185.4137617	306993170.986433	none	-144021850.834387	-142533679.994522	-143328081.492567	-335911215.856298	48945676.3661792	-2400364.18057312	-2375561.33324203	-2388801.35820945	-5598520.26427163	815761.272769653	187738685.31509	188882460.192656	187342449.53473	84093397.8740817	307312475.252627
sip15	NA	NA	NA	NA	NA	NA	NA	NA	3977.13797716876	21477.4207035313	1782.87533142903	-157474.918410919	341468.503549969	66.2856329528127	357.957011725522	29.7145888571505	-2624.58197351531	5691.14172583281	NA	T0.18	t48_18O	t72_18O	14237715.8903108	14195205.0060584	14237715.8903108	-7646920.91541897	37142213.0516248	237295.264838514	236586.750100973	237295.264838514	-127448.68192365	619036.884193747	10176968.9337389	10181436.1487496	10176968.9337389	5781484.12777692	15908357.4789102	24414684.8240497	24376641.154808	24414684.8240497	1713257.65831193	42923697.1794017	none	14233738.7523336	14173727.5853549	14072557.0189872	-7843038.20386679	36948397.0533431	237228.979205561	236228.793089248	234542.61698312	-130717.30339778	615806.617555718	24386844.8582096	24226299.2098833	24302758.636247	2396253.48628076	44016945.7390696
