taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip1	T0.18	t48_18O	t72_18O	29710376.7682895	29655267.174716	29710376.7682895	-17906081.6373065	83056395.2195556	495172.946138159	494254.452911933	495172.946138159	-298434.693955108	1384273.25365926	33524100.2406573	33447869.9414614	33524100.2406573	20597742.5167009	42188135.5515599	63234477.0089469	63103137.1161774	63234477.0089469	17371861.5995555	103654137.736257	none
sip3	T0.18	t48_18O	t72_18O	-1963728.52230895	-1854555.57854726	-1446319.73757596	-22739290.1020144	14346080.6935234	-32728.8087051491	-30909.2596424543	-24105.3289595993	-378988.168366907	239101.344892057	30846976.6967869	30761349.9406511	30846976.6967869	20632590.3995404	48574583.3458342	28883248.174478	28906794.3621038	28883248.174478	16138802.6740368	36779448.3900277	none
sip4	T0.18	t48_18O	t72_18O	1594290.68258605	1652297.45760865	1674416.6558789	-5812453.70581228	8406189.61283751	26571.5113764342	27538.2909601443	27906.9442646484	-96874.2284302046	140103.160213959	10079455.4842522	10063869.6416433	10079455.4842522	5577328.0914074	15343714.6809315	11673746.1668382	11716167.099252	11673746.1668382	5227739.43397244	17669567.1136495	none
sip5	T0.18	t48_18O	t72_18O	-2366229.09843366	-2357679.26976285	-2366229.09843366	-4009956.1111411	-464066.451112696	-39437.151640561	-39294.6544960475	-39437.151640561	-66832.6018523517	-7734.44085187827	4991587.67728491	4981267.91426525	4991587.67728491	3089425.02996395	6003582.51834768	2625358.57885125	2623588.6445024	2625358.57885125	1830573.42888334	3297699.76209745	none
sip7	T0.18	t48_18O	t72_18O	-5549526.88506102	-5448456.84887069	-5549526.88506102	-15386978.4627027	5275074.38988032	-92492.114751017	-90807.6141478448	-92492.114751017	-256449.641045046	87917.9064980053	22790291.4722287	22731483.0860424	22790291.4722287	11487096.9869016	29881538.7790131	17240764.5871677	17283026.2371717	17240764.5871677	8896438.90509718	22893651.9741524	none
sip8	T0.18	t48_18O	t72_18O	-27166179.7592447	-26822214.3620979	-27166179.7592447	-70757505.5127675	14686779.9282116	-452769.662654079	-447036.906034966	-452769.662654079	-1179291.75854612	244779.665470193	82174754.0931936	82053695.882585	82174754.0931936	51202013.8094472	118786207.500181	55008574.3339489	55231481.520487	55008574.3339489	23762271.3577689	86952054.9276037	none
sip9	T0.18	t48_18O	t72_18O	2090049.53713989	2124182.29880899	2090049.53713989	-14622350.3591511	18824149.9967871	34834.1589523315	35403.0383134832	34834.1589523315	-243705.839319184	313735.833279785	19942421.4924586	19893675.7337308	19942421.4924586	10907316.3475154	24865968.1660981	22032471.0295985	22017858.0325398	22032471.0295985	6458756.40167189	34091986.9863619	none
sip11	T0.18	t48_18O	t72_18O	944599.473592568	945606.771494232	944599.473592568	-934271.753872238	2730000.62250531	15743.3245598761	15760.1128582372	15743.3245598761	-15571.1958978706	45500.0103750886	1381247.42475822	1383505.61685403	1381247.42475822	48.1222545361999	2985048.17573064	2325846.89835079	2329112.38834826	2325846.89835079	850833.685198161	3209718.10799023	none
sip13	T0.18	t48_18O	t72_18O	-144551872.80706	-143105966.352137	-144551872.80706	-336296537.963755	49332668.6351823	-2409197.88011767	-2385099.43920229	-2409197.88011767	-5604942.29939592	822211.143919705	328580404.313437	327982422.041487	328580404.313437	171772430.716076	520325069.470132	184028531.506377	184876455.68935	184028531.506377	73892185.4137617	306993170.986433	none
sip15	T0.18	t48_18O	t72_18O	14237715.8903108	14195205.0060584	14237715.8903108	-7646920.91541897	37142213.0516248	237295.264838514	236586.750100973	237295.264838514	-127448.68192365	619036.884193747	10176968.9337389	10181436.1487496	10176968.9337389	5781484.12777692	15908357.4789102	24414684.8240497	24376641.154808	24414684.8240497	1713257.65831193	42923697.1794017	none
