taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip1	NA	NA	NA	NA	NA	NA	NA	NA	947154.203388797	920537.729369457	914920.55872348	-899089.576780206	3723458.3463194	15785.9033898133	15342.295489491	15248.6759787247	-14984.8262796701	62057.6391053234	NA	T0.16	t3_18O	t24_18O	16952017.728844	16858987.7062137	16952017.728844	1409414.33017297	32442703.7705309	282533.628814067	280983.128436895	282533.628814067	23490.2388362162	540711.729508848	4233080.6849457	4217725.7705356	4233080.6849457	1458349.00596093	6514060.35887257	19066096.1976842	18969340.0134726	19066096.1976842	4036242.30310764	32620446.4841602	none	16004863.5254552	15938449.9768443	15948387.8131694	881341.300423293	31689592.6979249	266747.725424254	265640.832947404	265806.463552823	14689.0216737216	528159.878298748	NA	NA	NA	NA	NA
sip3	NA	NA	NA	NA	NA	NA	NA	NA	-142894.697136039	-122772.706279086	-137115.634904012	-623761.806577111	209218.024490328	-2381.57828560066	-2046.21177131809	-2285.26058173353	-10396.0301096185	3486.96707483881	NA	T0.16	t3_18O	t24_18O	10230767.0956064	10119052.2901835	10230767.0956064	-8145912.42474187	28238222.0436821	170512.784926773	168650.871503059	170512.784926773	-135765.207079031	470637.034061368	15317384.6111641	15310634.3462885	15317384.6111641	8089993.30627553	20912181.9355592	24269305.8198196	24164805.1001991	24269305.8198196	7584986.15264076	38070163.4181541	none	10373661.7927424	10241824.9964626	10408070.8826903	-8009206.42517958	28417655.1352289	172894.363212373	170697.083274377	173467.848044839	-133486.773752993	473627.585587147	NA	NA	NA	NA	NA
sip4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5	NA	NA	NA	NA	NA	NA	NA	NA	-171024.217373686	-168322.854554144	-167329.072661004	-448717.657845151	426.929217408328	-2850.40362289476	-2805.38090923573	-2788.8178776834	-7478.62763075251	7.11548695680546	NA	T0.16	t3_18O	t24_18O	-345144.863245203	-349557.750194923	-345144.863245203	-844386.573423225	69172.3096176658	-5752.41438742005	-5825.96250324871	-5752.41438742005	-14073.1095570537	1152.8718269611	1960645.79671602	1961883.10659319	1960645.79671602	1832927.12152211	2163204.03455915	1658644.04137647	1656020.07517263	1658644.04137647	1166408.71603046	1940473.74071868	none	-174120.645871518	-181234.895640779	-183835.28165159	-726114.812138402	321244.538698798	-2902.01076452529	-3020.58159401299	-3063.92136085982	-12101.91353564	5354.07564497997	NA	NA	NA	NA	NA
sip7	NA	NA	NA	NA	NA	NA	NA	NA	-63413.826898543	-59489.199104457	-63995.7249312399	-177385.427155276	92686.4152812076	-1056.89711497572	-991.48665174095	-1066.59541552067	-2956.42378592126	1544.77358802013	NA	T0.16	t3_18O	t24_18O	9059593.01736269	8980323.23777552	9059593.01736269	-3406708.92253858	18830069.9687619	150993.216956045	149672.053962925	150993.216956045	-56778.4820423096	313834.499479365	7806498.07448459	7807459.38117736	7806498.07448459	4590048.26672739	10076083.6749331	15733641.9646769	15665242.2142309	15733641.9646769	3512302.80376935	22351047.9998469	none	9123006.84426123	9039812.43687998	9159296.22863252	-3352539.25275668	18798009.2950418	152050.11407102	150663.540614666	152654.937143876	-55875.6542126113	313300.154917363	NA	NA	NA	NA	NA
sip8	NA	NA	NA	NA	NA	NA	NA	NA	2216.98202998138	-2889.18441359512	-247.082085205774	-90073.2135521345	68657.4463763417	36.9497004996896	-48.1530735599186	-4.11803475342957	-1501.22022586891	1144.29077293903	NA	T0.16	t3_18O	t24_18O	28657906.8331149	28488783.3911359	28657906.8331149	-4427504.95854552	58048302.9600065	477631.780551915	474813.056518931	477631.780551915	-73791.749309092	967471.716000108	32571325.3577024	32585911.8463657	32571325.3577024	21636393.0976517	39658415.9531126	57646993.836678	57513597.3136096	57646993.836678	28340294.5467837	84210481.9213534	none	28655689.8510849	28491672.5755495	28655583.490314	-4404762.78526667	58109610.3542267	477594.830851415	474861.209592491	477593.058171901	-73412.7130877778	968493.505903779	NA	NA	NA	NA	NA
sip9	NA	NA	NA	NA	NA	NA	NA	NA	12516.7896717023	5266.77418099888	12018.248897491	-210286.295242703	167162.71473661	208.613161195039	87.7795696833147	200.304148291517	-3504.77158737839	2786.04524561016	NA	T0.16	t3_18O	t24_18O	7047599.06063626	6986630.7527142	7047599.06063626	-1720550.69086087	16022082.4345723	117459.984343938	116443.84587857	117459.984343938	-28675.8448476811	267034.707242872	5970911.24645397	5968969.05810978	5970911.24645397	4498524.29879681	7142201.17221738	12137560.4245107	12082270.9667347	12137560.4245107	3602763.91362841	19982705.9511574	none	7035082.27096456	6981363.9785332	6988530.99393411	-1822423.62462137	16166995.907167	117251.371182743	116356.066308887	116475.516565569	-30373.7270770229	269449.931786117	NA	NA	NA	NA	NA
sip11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip13	NA	NA	NA	NA	NA	NA	NA	NA	2148173.00629726	2240523.36261905	2243579.03784609	350172.130601113	4069826.75791681	35802.8834382877	37342.0560436508	37392.9839641015	5836.20217668522	67830.4459652802	NA	T0.16	t3_18O	t24_18O	204780436.543789	203866878.731308	199219773.215116	27910206.9900994	432301022.96965	3413007.27572982	3397781.31218847	3320329.55358526	465170.116501656	7205017.04949417	45754419.2512726	45938256.3702055	45754419.2512726	24876144.9159203	72914226.6842096	224937301.227088	224321775.2601	224937301.227088	59028736.8574355	435164927.859891	none	202632263.537492	201626355.368689	197263826.724069	25934752.5793297	430254929.713058	3377204.39229153	3360439.25614482	3287730.44540114	432245.87632216	7170915.49521763	NA	NA	NA	NA	NA
sip15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.16	t3_18O	t24_18O	5482780.94597213	5454291.43961272	5482780.94597213	-1906456.12703085	13577228.8502077	91379.6824328688	90904.8573268787	91379.6824328688	-31774.2687838476	226287.147503462	2896471.40158464	2879837.8151758	2896471.40158464	46.6640044843304	5075741.89884912	7693904.72931025	7652342.82483693	7693904.72931025	1915044.2882927	14773980.1131321	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
