taxon	tube	Replicate	Hour	Isotope	unique.tube	unique.tmt	copies.ul	t.copies.ul	code
sip1	1	rA	t3	18O	rA_t3_18O	t3_18O	862900000	1422482.2158	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t3	18O	rB_t3_18O	t3_18O	679780000	1551715.135	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t3	18O	rC_t3_18O	t3_18O	567500000	298157.713	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t48	18O	rA_t48_18O	t48_18O	1164900000	5390315.3523	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t48	18O	rB_t48_18O	t48_18O	1263300000	8363940.8065	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t48	18O	rC_t48_18O	t48_18O	1270900000	6059128.6343	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t72	18O	rA_t72_18O	t72_18O	738400000	4620040.7902	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t72	18O	rB_t72_18O	t72_18O	1466300000	23019622.7747	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t72	18O	rC_t72_18O	t72_18O	1045500000	4671236.0133	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip3	1	rA	t0	16O	rA_t0_16O	t0_16O	1022024000	6724461.39372	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium
