taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip1	T0.1	t0_16O	t3_16O	204487.329305727	202341.532441974	204487.329305727	-8406438.80089194	8815413.45950339	3408.12215509545	3372.3588740329	3408.12215509545	-140107.313348199	146923.55765839	3007128.95036258	3001842.49080126	3007128.95036258	2261683.48945041	3888355.7635165	3032689.86652579	3027135.18235651	3032689.86652579	2242238.03762121	3844663.06237925	none
sip3	T0.1	t0_16O	t3_16O	-2538387.26188767	-2477516.9573338	-2538387.26188767	-23293850.7955662	16348667.6712138	-42306.4543647945	-41291.9492888967	-42306.4543647945	-388230.84659277	272477.79452023	8450740.41512547	8444002.69816886	8450740.41512547	6015083.03072826	11044575.2584758	8133442.00738951	8134313.07850213	8133442.00738951	7118827.28849623	8817826.46477801	none
sip5	T0.1	t0_16O	t3_16O	-1989273.76921654	-2143421.28215182	-1989273.76921654	-20195899.9618607	16270789.0126446	-33154.5628202757	-35723.6880358636	-33154.5628202757	-336598.332697679	271179.81687741	2379428.64916919	2391108.91202733	2379428.64916919	886473.888605424	4654002.24408638	2130769.42801713	2123181.25175835	2130769.42801713	781403.154561094	3199687.40430755	none
sip7	T0.1	t0_16O	t3_16O	-24104340.6524204	-24056521.4937495	-24104340.6524204	-37099384.5299139	-11109296.7749269	-401739.010873674	-400942.024895826	-401739.010873674	-618323.075498565	-185154.946248782	7282654.95622123	7274157.05639809	7282654.95622123	5996565.35585621	8536159.90832077	4269612.37466868	4267091.8696794	4269612.37466868	3386475.72695431	5047461.34186718	none
sip8	T0.1	t0_16O	t3_16O	4107264.89341271	3422855.36692632	4107264.89341271	-72279219.0807684	74345657.5436739	68454.4148902118	57047.589448772	68454.4148902118	-1204653.65134614	1239094.29239456	15688782.2014077	15717766.4180689	15688782.2014077	8017198.54307907	22721468.981006	16202190.3130843	16145623.3389347	16202190.3130843	7676927.69364696	21617588.746038	none
sip9	T0.1	t0_16O	t3_16O	8351142.00525162	8478534.86643037	8351142.00525162	-21718250.5046309	38420534.5151342	139185.700087527	141308.914440506	139185.700087527	-361970.841743849	640342.241918903	4896494.02663231	4876805.06868134	4896494.02663231	1669122.45849259	7340928.8076457	5940386.77728877	5936621.92698514	5940386.77728877	3643429.48892799	7808458.72463972	none
sip13	T0.1	t0_16O	t3_16O	88006181.5555121	87601206.7512966	88006181.5555121	4680240.61750962	171430760.178069	1466769.69259187	1460020.11252161	1466769.69259187	78004.010291827	2857179.33630115	10541591.3726499	10534605.3923868	10541591.3726499	5966645.58513277	14563203.1740136	21542364.067089	21484756.2362988	21542364.067089	11510051.4354648	29092587.4880456	none
sip16	T0.1	t0_16O	t3_16O	87794593.1981304	87426328.5631882	87794593.1981304	16473498.1814323	159479997.777143	1463243.21996884	1457105.47605314	1463243.21996884	274558.303023872	2657999.96295238	13081484.5612302	13077868.0153228	13081484.5612302	9270361.90480324	16101196.1740294	24055808.7109965	24006159.0857213	24055808.7109965	15360283.5063365	30694000.8316751	none
sip17	T0.1	t0_16O	t3_16O	38115828.8517466	38186726.6193686	38115828.8517466	-43712325.5860247	120069010.737183	635263.814195776	636445.443656144	635263.814195776	-728538.759767078	2001150.17895305	8765467.40453664	8739947.21258351	8765467.40453664	5307068.33060476	13279951.3900071	13529946.011005	13513288.0400046	13529946.011005	4328555.38575911	21100837.6292589	none
sip18	T0.1	t0_16O	t3_16O	-7869319.85532695	-7901227.16048728	-7869319.85532695	-62713442.752693	46974803.0420391	-131155.330922116	-131687.119341455	-131155.330922116	-1045224.04587822	782913.384033986	18409072.8161659	18425080.4831775	18409072.8161659	15445071.7940018	21847623.2256668	17425407.83425	17437427.0881166	17425407.83425	9963621.54227585	22146739.3858658	none
sip19	T0.1	t0_16O	t3_16O	4975786.97509373	5119734.88160903	4975786.97509373	-23782582.6639455	31886378.9295004	82929.7829182288	85328.9146934838	82929.7829182288	-396376.377732425	531439.648825006	4253487.85897182	4236287.912249	4253487.85897182	1845007.53655394	7152001.56997574	4875461.23085853	4876254.77245013	4875461.23085853	2527552.57122363	6527087.39661746	none
sip20	T0.1	t0_16O	t3_16O	-6164374.10436163	-6418161.62795599	-6164374.10436163	-36664221.1029761	24286415.6278106	-102739.568406027	-106969.360465933	-102739.568406027	-611070.351716269	404773.593796843	4594676.82686334	4612291.40905485	4594676.82686334	1748455.44625506	8233041.63880283	3824130.06381813	3810021.20556035	3824130.06381813	1992929.69864797	6945786.13058064	none
