taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip1	NA	NA	NA	NA	NA	NA	NA	NA	-258195.742966872	-257979.42590262	-253074.654493418	-424689.933194431	-127711.378807503	-4303.2623827812	-4299.657098377	-4217.91090822363	-7078.16555324051	-2128.52298012505	NA	T0.19	t72_18O	t168_18O	-2850251.27750691	-2849783.58207196	-2850251.27750691	-7447521.33114393	1383367.030215	-47504.1879584484	-47496.3930345326	-47504.1879584484	-124125.355519066	23056.11717025	64530643.3429632	64577983.7119865	64530643.3429632	58484192.2272549	72715608.6392723	53129638.2329356	53178849.3836987	53129638.2329356	34740558.0183875	70064111.4638232	none	-2592055.53454003	-2591804.15616934	-2611801.17963459	-7255451.54959815	1741523.15508424	-43200.9255756672	-43196.7359361556	-43530.0196605764	-120924.192493303	29025.3859180706	NA	NA	NA	NA	NA
sip2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip3	NA	NA	NA	NA	NA	NA	NA	NA	-154658.237267062	-156498.297240097	-156065.856798601	-264561.08685358	-42814.2909086737	-2577.63728778437	-2608.30495400161	-2601.09761331002	-4409.35144755967	-713.571515144561	NA	T0.19	t72_18O	t168_18O	-4292307.98288655	-4310292.74228431	-4292307.98288655	-7996894.9469776	-587721.018795507	-71538.4663814425	-71838.2123714051	-71538.4663814425	-133281.582449627	-9795.35031325845	43762518.082142	43853640.9218074	43762518.082142	34927253.2231719	57477113.8832183	26593286.1505958	26612469.9526702	26593286.1505958	16219989.6645104	38125172.5735566	none	-4137649.74561949	-4153794.44504421	-4117881.63694073	-7841435.45813955	-514078.076506703	-68960.8290936582	-69229.9074174035	-68631.3606156789	-130690.590968993	-8567.96794177838	NA	NA	NA	NA	NA
sip4	NA	NA	NA	NA	NA	NA	NA	NA	-28817.0291935647	-31370.0194921404	-28999.8118481772	-117148.165657283	41845.9494413347	-480.283819892745	-522.833658202339	-483.33019746962	-1952.46942762138	697.432490688912	NA	T0.19	t72_18O	t168_18O	-423664.784192143	-408115.910117069	-419501.454556331	-3377754.51940552	2217456.1331797	-7061.07973653572	-6801.93183528447	-6991.69090927218	-56295.9086567588	36957.6022196617	13393045.1727903	13374663.7341708	13393045.1727903	7676436.07850501	22722306.8894548	11698386.0360217	11742200.0937025	11698386.0360217	1985983.56707424	16579567.2483103	none	-394847.754998578	-376745.890624928	-338128.46342065	-3341918.41521404	2248396.00435301	-6580.79591664297	-6279.09817708214	-5635.47439034417	-55698.6402535675	37473.2667392168	NA	NA	NA	NA	NA
sip5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.19	t72_18O	t168_18O	-16591.2345789031	-6902.86640335001	-16591.2345789031	-1177865.55356835	966683.448018411	-276.520576315051	-115.047773389167	-276.520576315051	-19631.0925594725	16111.3908003068	3933098.78360536	3903945.73798992	3933098.78360536	0.0532161031549385	9487552.01670379	3866733.84528975	3876334.27237652	3866733.84528975	2718218.0894168	5463785.45830694	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip7	NA	NA	NA	NA	NA	NA	NA	NA	-73705.9554555592	-73587.8084458421	-72681.2263518856	-125024.588319192	-24360.9777815086	-1228.43259092599	-1226.46347409737	-1211.35377253143	-2083.74313865319	-406.016296358476	NA	T0.19	t72_18O	t168_18O	-2370548.70351222	-2391527.46174031	-2370548.70351222	-4833548.05995461	21594.3364268197	-39509.145058537	-39858.7910290051	-39509.145058537	-80559.1343325768	359.905607113661	32053912.2787284	32095921.2775246	32053912.2787284	24429418.8167922	37784663.1677688	22571717.4646795	22529811.4305634	22571717.4646795	13715297.5449447	29916045.4712769	none	-2296842.74805666	-2317939.65329447	-2295946.34309685	-4760743.95234835	69862.4490535479	-38280.712467611	-38632.3275549078	-38265.7723849475	-79345.7325391391	1164.37415089246	NA	NA	NA	NA	NA
sip8	NA	NA	NA	NA	NA	NA	NA	NA	-29193.2078081934	-28248.9418288638	-35515.911470836	-180442.623110935	209290.3209829	-486.553463469889	-470.81569714773	-591.931857847267	-3007.37705184892	3488.17201638166	NA	T0.19	t72_18O	t168_18O	-1402125.0134788	-1351501.32614438	-1402125.0134788	-6117564.80009519	3522232.14534213	-23368.7502246466	-22525.0221024064	-23368.7502246466	-101959.41333492	58703.8690890355	42962676.9981509	42869339.3198518	42962676.9981509	29773357.9680333	57164441.116463	37354176.9442357	37463334.0152743	37354176.9442357	27153513.9646353	57051605.5795194	none	-1372931.8056706	-1323252.38431552	-1362375.46932809	-6108822.87344967	3529521.24637139	-22882.1967611767	-22054.2064052587	-22706.2578221348	-101813.714557495	58825.3541061898	NA	NA	NA	NA	NA
sip9	NA	NA	NA	NA	NA	NA	NA	NA	-86934.5945903451	-86826.856684159	-83682.7796646811	-158367.984700695	-32125.5378139416	-1448.90990983909	-1447.11427806932	-1394.71299441135	-2639.46641167824	-535.42563023236	NA	T0.19	t72_18O	t168_18O	-4121171.95852992	-4139340.01045924	-4121171.95852992	-6168758.81605653	-1956797.59283852	-68686.199308832	-68989.0001743206	-68686.199308832	-102812.646934276	-32613.2932139753	31409718.8617097	31464049.7027507	31409718.8617097	22699923.5768922	39013226.487735	14925031.0275901	14906689.6609138	14925031.0275901	10382867.0879209	20042056.5653748	none	-4034237.36393957	-4052513.15377508	-4048353.09366717	-6117509.44120445	-1874531.92974909	-67237.2893989929	-67541.8858962513	-67472.5515611196	-101958.490686741	-31242.1988291515	NA	NA	NA	NA	NA
sip13	NA	NA	NA	NA	NA	NA	NA	NA	-1555762.05848716	-1538913.40233936	-1525844.90967218	-1980459.2633841	-1151076.94632302	-25929.3676414526	-25648.556705656	-25430.7484945363	-33007.654389735	-19184.6157720503	NA	T0.19	t72_18O	t168_18O	-26363952.5615828	-26149314.1859199	-26363952.5615828	-48760802.8119524	-3967102.3112132	-439399.209359714	-435821.903098665	-439399.209359714	-812680.046865874	-66118.3718535534	171383871.60422	170838504.450864	171383871.60422	98884905.2113075	281757226.60242	65928061.3578883	66241247.7071843	65928061.3578883	37104410.0846166	122994291.697939	none	-24808190.5030957	-24610400.7835805	-24780148.4493701	-47320291.8592396	-2483194.699356	-413469.841718261	-410173.346393009	-413002.474156168	-788671.530987326	-41386.5783226001	NA	NA	NA	NA	NA
sip15	NA	NA	NA	NA	NA	NA	NA	NA	-77070.561031622	-80893.4871525326	-78256.8787717781	-148961.624757846	-12653.7054189669	-1284.50935052703	-1348.22478587554	-1304.28131286297	-2482.6937459641	-210.895090316116	NA	T0.19	t72_18O	t168_18O	-1821363.98690492	-1846625.99899816	-1821363.98690492	-5009003.32920161	1555721.78021891	-30356.0664484154	-30777.0999833026	-30356.0664484154	-83483.3888200269	25928.6963369819	21392622.1510417	21467168.1575359	21392622.1510417	8231178.03802769	31623382.547903	14107166.203422	14080664.1615432	14107166.203422	6720651.44395743	23853476.1395682	none	-1744293.4258733	-1765732.51184562	-1751816.18817452	-4921254.36764363	1598043.05658959	-29071.5570978883	-29428.8751974271	-29196.9364695754	-82020.9061273939	26634.0509431599	NA	NA	NA	NA	NA
