taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip1	T0.19	t72_18O	t168_18O	-2850251.27750691	-2849783.58207196	-2850251.27750691	-7447521.33114393	1383367.030215	-47504.1879584484	-47496.3930345326	-47504.1879584484	-124125.355519066	23056.11717025	64530643.3429632	64577983.7119865	64530643.3429632	58484192.2272549	72715608.6392723	53129638.2329356	53178849.3836987	53129638.2329356	34740558.0183875	70064111.4638232	none
sip3	T0.19	t72_18O	t168_18O	-4292307.98288655	-4310292.74228431	-4292307.98288655	-7996894.9469776	-587721.018795507	-71538.4663814425	-71838.2123714051	-71538.4663814425	-133281.582449627	-9795.35031325845	43762518.082142	43853640.9218074	43762518.082142	34927253.2231719	57477113.8832183	26593286.1505958	26612469.9526702	26593286.1505958	16219989.6645104	38125172.5735566	none
sip4	T0.19	t72_18O	t168_18O	-423664.784192143	-408115.910117069	-419501.454556331	-3377754.51940552	2217456.1331797	-7061.07973653572	-6801.93183528447	-6991.69090927218	-56295.9086567588	36957.6022196617	13393045.1727903	13374663.7341708	13393045.1727903	7676436.07850501	22722306.8894548	11698386.0360217	11742200.0937025	11698386.0360217	1985983.56707424	16579567.2483103	none
sip5	T0.19	t72_18O	t168_18O	-16591.2345789031	-6902.86640335001	-16591.2345789031	-1177865.55356835	966683.448018411	-276.520576315051	-115.047773389167	-276.520576315051	-19631.0925594725	16111.3908003068	3933098.78360536	3903945.73798992	3933098.78360536	0.0532161031549385	9487552.01670379	3866733.84528975	3876334.27237652	3866733.84528975	2718218.0894168	5463785.45830694	none
sip7	T0.19	t72_18O	t168_18O	-2370548.70351222	-2391527.46174031	-2370548.70351222	-4833548.05995461	21594.3364268197	-39509.145058537	-39858.7910290051	-39509.145058537	-80559.1343325768	359.905607113661	32053912.2787284	32095921.2775246	32053912.2787284	24429418.8167922	37784663.1677688	22571717.4646795	22529811.4305634	22571717.4646795	13715297.5449447	29916045.4712769	none
sip8	T0.19	t72_18O	t168_18O	-1402125.0134788	-1351501.32614438	-1402125.0134788	-6117564.80009519	3522232.14534213	-23368.7502246466	-22525.0221024064	-23368.7502246466	-101959.41333492	58703.8690890355	42962676.9981509	42869339.3198518	42962676.9981509	29773357.9680333	57164441.116463	37354176.9442357	37463334.0152743	37354176.9442357	27153513.9646353	57051605.5795194	none
sip9	T0.19	t72_18O	t168_18O	-4121171.95852992	-4139340.01045924	-4121171.95852992	-6168758.81605653	-1956797.59283852	-68686.199308832	-68989.0001743206	-68686.199308832	-102812.646934276	-32613.2932139753	31409718.8617097	31464049.7027507	31409718.8617097	22699923.5768922	39013226.487735	14925031.0275901	14906689.6609138	14925031.0275901	10382867.0879209	20042056.5653748	none
sip13	T0.19	t72_18O	t168_18O	-26363952.5615828	-26149314.1859199	-26363952.5615828	-48760802.8119524	-3967102.3112132	-439399.209359714	-435821.903098665	-439399.209359714	-812680.046865874	-66118.3718535534	171383871.60422	170838504.450864	171383871.60422	98884905.2113075	281757226.60242	65928061.3578883	66241247.7071843	65928061.3578883	37104410.0846166	122994291.697939	none
sip15	T0.19	t72_18O	t168_18O	-1821363.98690492	-1846625.99899816	-1821363.98690492	-5009003.32920161	1555721.78021891	-30356.0664484154	-30777.0999833026	-30356.0664484154	-83483.3888200269	25928.6963369819	21392622.1510417	21467168.1575359	21392622.1510417	8231178.03802769	31623382.547903	14107166.203422	14080664.1615432	14107166.203422	6720651.44395743	23853476.1395682	none
sip16	T0.19	t72_18O	t168_18O	-34231644.8798327	-34052060.2537961	-34231644.8798327	-56505385.7641908	-12825517.9512202	-570527.414663878	-567534.337563268	-570527.414663878	-941756.42940318	-213758.632520337	207134749.321912	206750999.867337	207134749.321912	152558419.899937	312221163.488884	70208169.802581	70542758.8521522	70208169.802581	35689535.6871231	128834070.564549	none
sip17	T0.19	t72_18O	t168_18O	-6729600.6573264	-6775045.41001599	-6729600.6573264	-12500659.3296954	-958541.984957432	-112160.01095544	-112917.423500266	-112160.01095544	-208344.322161589	-15975.6997492905	52301215.3008776	52407594.1276268	52301215.3008776	22526932.9385057	67894928.8543062	25382812.671572	25307412.4875628	25382812.671572	11179053.564733	33650616.9728749	none
sip18	T0.19	t72_18O	t168_18O	-7252614.86994747	-7316844.93427992	-7252614.86994747	-14650211.5661531	-1071858.37299453	-120876.914499124	-121947.415571332	-120876.914499124	-244170.192769218	-17864.3062165755	61647376.8397672	61852643.7334544	61647376.8397672	36936909.6259741	91740114.5853354	32636917.3599774	32585263.9963347	32636917.3599774	20987407.0366966	43784076.7225125	none
sip19	T0.19	t72_18O	t168_18O	-2206090.2899583	-2230701.96848906	-2206090.2899583	-5680790.76615264	1483699.78448098	-36768.1714993049	-37178.3661414843	-36768.1714993049	-94679.846102544	24728.3297413497	27641675.8266744	27687947.4091031	27641675.8266744	11702415.5803978	36582720.314056	18817314.6668412	18765139.5351469	18817314.6668412	10081899.7805691	24955172.0327564	none
sip20	T0.19	t72_18O	t168_18O	-691309.844273079	-685229.041960867	-691309.844273079	-3292197.14460396	1752879.41745391	-11521.8307378847	-11420.4840326811	-11521.8307378847	-54869.9524100661	29214.6569575652	13962989.0359877	13954316.2774659	13962989.0359877	6557490.91825394	24883890.9314517	11197749.6588954	11213400.1096224	11197749.6588954	6972584.49468736	14086361.28221	none
sip22	T0.19	t72_18O	t168_18O	-696276.023806475	-679979.564429971	-696276.023806475	-3641702.60772901	2249150.56011606	-11604.6003967746	-11332.9927404995	-11604.6003967746	-60695.0434621501	37485.842668601	14928727.0690262	14910878.4753411	14928727.0690262	7552582.19035265	26514819.4921967	12143622.9738003	12190960.2176212	12143622.9738003	7176095.4136519	20392779.7847017	none
sip23	T0.19	t72_18O	t168_18O	272466.395857346	272754.828879596	271821.795637654	39522.1646077748	554843.017802951	4541.10659762244	4545.91381465993	4530.36326062757	658.702743462914	9247.38363004919	477670.206932202	474441.59947818	477670.206932202	0.0532161031549385	840256.738656705	1567535.79036159	1565460.91499656	1567535.79036159	830123.022881892	2785197.11243615	none
