taxonID	comparisonID	group.code.0	group.code.t	net.r.obs	net.r.boot.mean	net.r.boot.median	net.r.boot.CI.L	net.r.boot.CI.U	net.f.obs	net.f.boot.mean	net.f.boot.median	net.f.boot.CI.L	net.f.boot.CI.U	N.T0.obs.mean	N.T0.boot.mean	N.T0.boot.median	N.T0.boot.CI.L	N.T0.boot.CI.U	N.Tt.obs.mean	N.Tt.boot.mean	N.Tt.boot.median	N.Tt.boot.CI.L	N.Tt.boot.CI.U	message
sip1	T0.18	t48_18O	t72_18O	33412431.0827448	33498382.0968182	33412431.0827448	19980759.505102	46844102.6603877	556873.851379081	558306.368280303	556873.851379081	333012.658418367	780735.044339794	31118212.2602183	31079601.6151684	31118212.2602183	21200597.3339716	43356258.7197753	64530643.3429632	64577983.7119865	64530643.3429632	58484192.2272549	72715608.6392723	none
sip2	T0.18	t48_18O	t72_18O	-1017297.07114816	-980354.510722373	-1017297.07114816	-11092145.5985414	7779762.36695911	-16954.9511858026	-16339.2418453729	-16954.9511858026	-184869.093309024	129662.706115985	7256139.91119716	7224379.93741744	7256139.91119716	656056.540109991	16310190.1693604	6238842.840049	6244025.42669507	6238842.840049	0.0277355114256846	10456752.2797158	none
sip3	T0.18	t48_18O	t72_18O	20482112.3502706	20613056.1201686	20482112.3502706	10147819.4588524	32881992.1340818	341368.539171177	343550.935336143	341368.539171177	169130.324314207	548033.202234697	23280405.7318713	23240584.8016388	23280405.7318713	17833301.0259384	30230467.091942	43762518.082142	43853640.9218074	43762518.082142	34927253.2231719	57477113.8832183	none
sip4	T0.18	t48_18O	t72_18O	1123125.10939124	1122821.40171853	1123125.10939124	-9244682.86971828	11810702.0013297	18718.7518231873	18713.6900286421	18718.7518231873	-154078.047828638	196845.033355494	12269920.063399	12251842.3324523	12269920.063399	4875226.88101094	19788130.2739704	13393045.1727903	13374663.7341708	13393045.1727903	7676436.07850501	22722306.8894548	none
sip5	T0.18	t48_18O	t72_18O	951762.963493673	924008.770110112	951762.963493673	-3263266.64391848	5905520.64766286	15862.7160582279	15400.1461685019	15862.7160582279	-54387.7773986413	98425.3441277143	2981335.82011169	2979936.96787981	2981335.82011169	1194845.50255546	4352382.36130421	3933098.78360536	3903945.73798992	3933098.78360536	0.0532161031549385	9487552.01670379	none
sip7	T0.18	t48_18O	t72_18O	18140901.397598	18223877.6362781	18485402.0017071	9218086.47063334	26699897.0274732	302348.356626633	303731.293937968	308090.033361785	153634.774510556	444998.28379122	13913010.8811304	13872043.6412465	13913010.8811304	9078124.77406859	22491325.2039859	32053912.2787284	32095921.2775246	32053912.2787284	24429418.8167922	37784663.1677688	none
sip8	T0.18	t48_18O	t72_18O	5608177.2451005	5421953.02077251	5608177.2451005	-12834436.8168761	21955483.7193726	93469.620751675	90365.8836795418	93469.620751675	-213907.280281268	365924.72865621	37354499.7530504	37447386.2990793	37354499.7530504	26981331.5062696	54918090.5437697	42962676.9981509	42869339.3198518	42962676.9981509	29773357.9680333	57164441.116463	none
sip9	T0.18	t48_18O	t72_18O	14126052.7100102	14232071.1735467	14209163.7435538	2519865.10697844	25325358.6317018	235434.211833503	237201.186225779	236819.395725897	41997.751782974	422089.310528363	17283666.1516996	17231978.529204	17283666.1516996	11355905.7998682	28889853.7547313	31409718.8617097	31464049.7027507	31409718.8617097	22699923.5768922	39013226.487735	none
sip13	T0.18	t48_18O	t72_18O	79855104.1081277	79178063.6364281	79855104.1081277	-5183025.96365182	180531623.683367	1330918.40180213	1319634.39394047	1330918.40180213	-86383.7660608637	3008860.39472279	91528767.4960918	91660440.8144358	91528767.4960918	46182430.9655498	127150983.033375	171383871.60422	170838504.450864	171383871.60422	98884905.2113075	281757226.60242	none
sip15	T0.18	t48_18O	t72_18O	10621790.6754778	10716884.0735439	10821907.1768286	-1090895.76807649	20602112.2904972	177029.844591297	178614.734559066	180365.11961381	-18181.5961346081	343368.538174954	10770831.4755638	10750284.0839919	10770831.4755638	8137356.08064354	14686116.4158264	21392622.1510417	21467168.1575359	21392622.1510417	8231178.03802769	31623382.547903	none
