taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip1	NA	NA	NA	NA	NA	NA	NA	NA	385902.459286065	383868.567393871	383392.196041472	189541.708771119	581852.392818645	6431.70765476774	6397.80945656452	6389.86993402454	3159.02847951865	9697.53988031074	NA	T0.16	t3_18O	t24_18O	34161574.226658	34109222.9584067	34161574.226658	16723567.4670048	60199244.8726171	569359.570444301	568487.049306778	569359.570444301	278726.12445008	1003320.74787695	5639116.14531954	5664638.58321363	5639116.14531954	2876153.04361482	9865532.04522016	35530493.5936453	35510208.6718195	35530493.5936453	21989497.7139585	61043930.7529765	none	33775671.767372	33725354.3910128	33742594.8374535	16254139.4426745	59949611.0895627	562927.862789533	562089.239850213	562376.580624226	270902.324044575	999160.184826044	NA	NA	NA	NA	NA
sip2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip3	NA	NA	NA	NA	NA	NA	NA	NA	344145.392155441	341342.738955295	340743.188881173	82538.7393910565	598296.138717874	5735.75653592402	5689.04564925491	5679.05314801955	1375.64565651761	9971.60231196457	NA	T0.16	t3_18O	t24_18O	19389844.4405631	19294059.1271498	19389844.4405631	5793933.37995347	33731307.258185	323164.074009385	321567.652119163	323164.074009385	96565.5563325579	562188.454303084	16196284.5778669	16260772.2059193	16196284.5778669	10235465.3216022	26492545.3055226	33162398.4633596	33143073.9421754	33162398.4633596	25871647.2978276	45711178.4287788	none	19045699.0484077	18952716.3881945	18954154.4567156	5522049.90276782	33370734.7002255	317428.317473461	315878.606469908	315902.574278594	92034.1650461304	556178.911670425	NA	NA	NA	NA	NA
sip4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.16	t3_18O	t24_18O	-2221875.32565949	-2210185.60544832	-2221875.32565949	-5001555.32045199	1114089.97508373	-37031.2554276582	-36836.4267574719	-37031.2554276582	-83359.2553408665	18568.1662513955	3531417.3837559	3536945.03113691	3531417.3837559	2601279.41367945	4571175.0451602	1587276.47380385	1603032.62636963	1587276.47380385	0.0358532219619128	4506246.11195417	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip7	NA	NA	NA	NA	NA	NA	NA	NA	214301.039055845	211847.102361384	209375.768920856	104034.57869085	321106.769709095	3571.68398426408	3530.78503935639	3489.59614868093	1733.9096448475	5351.77949515158	NA	T0.16	t3_18O	t24_18O	12160648.3215709	12077913.6798974	12040611.2025788	-656515.91325153	25097849.6753854	202677.472026181	201298.561331623	200676.853376313	-10941.9318875255	418297.494589756	8281879.82394897	8333210.91802906	8281879.82394897	4187904.53900921	16154732.9564742	18922447.1053235	18901385.3879392	18922447.1053235	10961975.0295728	32640202.7285166	none	11946347.282515	11866066.577536	11875297.0301418	-871020.759128064	24865726.4456076	199105.788041917	197767.776292266	197921.617169029	-14517.0126521344	414428.774093459	NA	NA	NA	NA	NA
sip8	NA	NA	NA	NA	NA	NA	NA	NA	581911.771676787	587620.609921086	587898.63734729	-406303.806133772	1453596.8185034	9698.52952794645	9793.6768320181	9798.31062245484	-6771.73010222953	24226.6136417233	NA	T0.16	t3_18O	t24_18O	19927901.414066	20076130.1903948	19927901.414066	-3541068.96371527	43084781.3175338	332131.690234434	334602.169839914	332131.690234434	-59017.8160619211	718079.688625563	25255636.7378222	25257704.4587049	25255636.7378222	17876477.0167479	35313879.3606437	42692550.47513	42824318.3753004	42692550.47513	24836284.2963185	63485614.8796984	none	19345989.6423893	19488509.5804738	19338415.2489475	-4206215.9718418	42892315.7614292	322433.160706488	324808.493007896	322306.920815792	-70103.5995306966	714871.929357154	NA	NA	NA	NA	NA
sip9	NA	NA	NA	NA	NA	NA	NA	NA	316970.611073001	314639.462500732	312377.497005879	132650.810432892	485909.799904977	5282.84351788335	5243.99104167886	5206.29161676465	2210.8468405482	8098.49666508294	NA	T0.16	t3_18O	t24_18O	10475551.5226001	10401202.7555385	10475551.5226001	1088492.05877427	20218711.5840447	174592.525376669	173353.379258976	174592.525376669	18141.5343129044	336978.526400746	11243800.3887301	11287524.1874595	11243800.3887301	7368804.82469256	18162398.5664167	20409907.9710052	20388576.5985557	20409907.9710052	14226359.3347608	28935173.0247693	none	10158580.9115271	10086563.2930378	10054684.4717967	685271.471596497	20001924.8247807	169309.681858786	168109.388217297	167578.074529946	11421.1911932749	333365.413746344	NA	NA	NA	NA	NA
sip13	NA	NA	NA	NA	NA	NA	NA	NA	2702774.20322898	2710865.88517933	2734980.58563893	1480399.89426063	3773515.33788275	45046.2367204831	45181.0980863221	45583.0097606489	24673.3315710106	62891.9222980458	NA	T0.16	t3_18O	t24_18O	151220330.041347	151609851.999598	151220330.041347	80298806.3599265	219231774.674153	2520338.83402245	2526830.86665997	2520338.83402245	1338313.43933211	3653862.91123589	42777327.5362658	42847698.5948955	42777327.5362658	31851891.3242729	55670748.4444786	175095116.322444	175506319.094544	175095116.322444	113038783.101202	236573115.07237	none	148517555.838118	148898986.114419	148380362.796236	77427779.0630058	216125666.544074	2475292.59730197	2481649.76857364	2473006.04660393	1290462.98438343	3602094.44240124	NA	NA	NA	NA	NA
sip15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
