taxon	tube	Replicate	Hour	Isotope	unique.tube	unique.tmt	copies.ul	t.copies.ul	code
sip1	1	rA	t0	16O	rA_t0_16O	t0_16O	280700000	603949.0464	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t0	16O	rB_t0_16O	t0_16O	268033000	646755.0046	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t0	16O	rC_t0_16O	t0_16O	168282200	505436.6332	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t168	16O	rA_t168_16O	t168_16O	233308000	3476556.85939	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t168	16O	rB_t168_16O	t168_16O	237971000	1382440.0262	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t168	16O	rC_t168_16O	t168_16O	239460000	2590591.6347	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t24	16O	rA_t24_16O	t24_16O	255420000	1081694.59948	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rB	t24	16O	rB_t24_16O	t24_16O	324410175	1602040.17288165	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rC	t24	16O	rC_t24_16O	t24_16O	359100000	2103093.4996	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
sip1	1	rA	t3	16O	rA_t3_16O	t3_16O	285420000	1262709.67533	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_unclassified_Sphingomonadaceae
