taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip1	NA	NA	NA	NA	NA	NA	NA	NA	-342346.695275396	-118486.770318368	-115572.273606976	-390848.061776922	112232.645297924	-5705.77825458994	-1974.77950530613	-1926.20456011627	-6514.1343629487	1870.54408829873	NA	T0.17	t24_18O	t48_18O	-4412281.33342698	-4449181.66962529	-4412281.33342698	-26825189.0726656	15991083.4748469	-73538.022223783	-74153.0278270882	-73538.022223783	-447086.484544427	266518.057914116	35530493.5936453	35510208.6718195	35530493.5936453	21989497.7139585	61043930.7529765	31118212.2602183	31061027.0021942	31118212.2602183	21200597.3339716	38503432.7221529	none	-4069934.63815158	-4330694.89930692	-4343582.57518255	-26837415.4868207	15960727.7080344	-67832.243969193	-72178.248321782	-72393.0429197091	-447290.258113678	266012.128467241	NA	NA	NA	NA	NA
sip2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.17	t24_18O	t48_18O	-816504.66198461	-806650.625669928	-816504.661984609	-10442446.4267768	8809437.10280756	-13608.4110330768	-13444.1770944988	-13608.4110330768	-174040.773779613	146823.951713459	8072644.57318177	8025644.00352764	8072644.57318177	0.0220982123256996	13223691.6872243	7256139.91119716	7218993.37785771	7256139.91119716	656056.540109991	12474184.4542806	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip3	NA	NA	NA	NA	NA	NA	NA	NA	-172698.861844628	-95460.9720084775	-96465.6810628703	-326040.568248697	63350.4585101479	-2878.31436407713	-1591.01620014129	-1607.76135104784	-5434.00947081161	1055.84097516913	NA	T0.17	t24_18O	t48_18O	-9881992.73148828	-9866238.84552294	-9881992.73148828	-21281639.7122371	863573.000829984	-164699.878858138	-164437.314092049	-164699.878858138	-354693.995203951	14392.8833471664	33162398.4633596	33143073.9421754	33162398.4633596	25871647.2978276	45711178.4287788	23280405.7318713	23276835.0966524	23280405.7318713	17833301.0259384	27412794.4205392	none	-9709293.86964365	-9770777.87351446	-9661247.57382946	-21316304.7691974	968878.205819339	-161821.564494061	-162846.297891908	-161020.792897158	-355271.74615329	16147.970096989	NA	NA	NA	NA	NA
sip4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.17	t24_18O	t48_18O	9699690.70777835	9627173.54318724	9699690.70740253	2158493.58960607	17240887.8255748	161661.511796306	160452.892386454	161661.511790042	35974.8931601012	287348.130426247	2570229.3556207	2598501.87814566	2570229.3556207	0.0347257622112375	7710687.99628312	12269920.063399	12225675.4213329	12269920.063399	4875226.88101094	17240887.8610522	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.17	t24_18O	t48_18O	1394059.34630784	1367168.80806035	1394059.34630784	-1206376.03689954	3865589.10565535	23234.3224384639	22786.1468010058	23234.3224384639	-20106.267281659	64426.4850942558	1587276.47380385	1603032.62636963	1587276.47380385	0.0358532219619128	4506246.11195417	2981335.82011169	2970201.43442998	2981335.82011169	1194845.50255546	4033848.10636127	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip7	NA	NA	NA	NA	NA	NA	NA	NA	-150108.703962921	-115891.078368271	-117955.285873628	-286692.301400261	17833.5795038245	-2501.81173271535	-1931.51797280452	-1965.92143122713	-4778.20502333769	297.226325063741	NA	T0.17	t24_18O	t48_18O	-5009436.22419303	-5006000.18999651	-4645616.92710363	-17070398.2309028	6687706.48542734	-83490.6037365505	-83433.3364999418	-77426.9487850604	-284506.637181713	111461.774757122	18922447.1053235	18901385.3879392	18922447.1053235	10961975.0295728	32640202.7285166	13913010.8811304	13895385.1979427	13913010.8811304	9078124.77406859	18384077.6911029	none	-4859327.52023011	-4890109.11162824	-4645758.25124418	-16944391.6660294	6886812.94373389	-80988.7920038351	-81501.8185271373	-77429.3041874029	-282406.527767156	114780.215728898	NA	NA	NA	NA	NA
sip8	NA	NA	NA	NA	NA	NA	NA	NA	-492920.231232631	-383349.399563749	-393695.710478535	-798480.02417869	82013.3734207937	-8215.33718721052	-6389.15665939581	-6561.59517464224	-13308.0004029782	1366.88955701323	NA	T0.17	t24_18O	t48_18O	-5338050.72207968	-5549621.22252144	-5338050.72207968	-26472498.6947589	20135494.278748	-88967.5120346613	-92493.687042024	-88967.5120346613	-441208.311579316	335591.571312468	42692550.47513	42824318.3753004	42692550.47513	24836284.2963185	63485614.8796984	37354499.7530504	37274697.152779	37354499.7530504	26981331.5062696	54918090.5437697	none	-4845130.49084705	-5166271.82295769	-5066043.53069208	-26198433.6182391	20530100.8028063	-80752.1748474508	-86104.5303826282	-84434.0588448679	-436640.560303986	342168.346713439	NA	NA	NA	NA	NA
sip9	NA	NA	NA	NA	NA	NA	NA	NA	-128675.317920978	-59106.9747737323	-56081.2473158152	-146130.653255581	63734.5546514748	-2144.5886320163	-985.116246228871	-934.687455263587	-2435.51088759302	1062.24257752458	NA	T0.17	t24_18O	t48_18O	-3126241.81930566	-3134798.58171593	-3126241.81930566	-13873829.0342628	8479945.78372606	-52104.030321761	-52246.6430285989	-52104.030321761	-231230.483904381	141332.429728768	20409907.9710052	20388576.5985557	20409907.9710052	14226359.3347608	28935173.0247693	17283666.1516996	17253778.0168398	17283666.1516996	11355905.7998682	23128315.4699873	none	-2997566.50138468	-3075691.6069422	-3065525.86580097	-13815452.396851	8453514.68000603	-49959.4416897447	-51261.52678237	-51092.0977633496	-230257.539947516	140891.911333434	NA	NA	NA	NA	NA
sip13	NA	NA	NA	NA	NA	NA	NA	NA	-2473804.01213571	-1606288.18483904	-1650393.78229402	-2820803.5367865	-266462.250174596	-41230.0668689286	-26771.4697473173	-27506.5630382337	-47013.392279775	-4441.03750290994	NA	T0.17	t24_18O	t48_18O	-83566348.8263526	-84285251.8331724	-83566348.8263526	-145044347.576278	-15398720.8133549	-1392772.48043921	-1404754.19721954	-1392772.48043921	-2417405.79293796	-256645.346889248	175095116.322444	175506319.094544	175095116.322444	113038783.101202	236573115.07237	91528767.4960918	91221067.2613713	91528767.4960918	46182430.9655498	127150983.033375	none	-81092544.8142169	-82678963.6483334	-82832051.675184	-143865457.272407	-14158337.2318302	-1351542.41357028	-1377982.72747222	-1380534.1945864	-2397757.62120678	-235972.287197169	NA	NA	NA	NA	NA
sip15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.17	t24_18O	t48_18O	-2214203.33059397	-2172213.58872635	-1763648.04740129	-17418884.8516237	10770831.4534656	-36903.3888432328	-36203.5598121059	-29394.1341233548	-290314.747527062	179513.85755776	12985034.8061578	12937987.6824131	12985034.8061578	0.0220982123256996	29922081.1557225	10770831.4755638	10765774.0936867	10770831.4755638	8137356.08064354	12953751.5872915	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
