taxonID	comparisonID	trt.code.1	trt.code.2	ape.obs	ape.boot.mean	ape.boot.median	ape.boot.CI.L	ape.boot.CI.U	b.obs	b.boot.mean	b.boot.median	b.boot.CI.L	b.boot.CI.U	f.gross.obs	f.gross.boot.mean	f.gross.boot.median	f.gross.boot.CI.L	f.gross.boot.CI.U	message	comparisonID.pop	group.code.0	group.code.t	r.net.obs	r.net.boot.mean	r.net.boot.median	r.net.boot.CI.L	r.net.boot.CI.U	f.net.obs	f.net.boot.mean	f.net.boot.median	f.net.boot.CI.L	f.net.boot.CI.U	N.tot.T0.obs.mean	N.tot.T0.boot.mean	N.tot.T0.boot.median	N.tot.T0.boot.CI.L	N.tot.T0.boot.CI.U	N.tot.Tt.obs.mean	N.tot.Tt.boot.mean	N.tot.Tt.boot.median	N.tot.Tt.boot.CI.L	N.tot.Tt.boot.CI.U	message.pop	d.obs	d.boot.mean	d.boot.median	d.boot.CI.L	d.boot.CI.U	f.death.obs	f.death.boot.mean	f.death.boot.median	f.death.boot.CI.L	f.death.boot.CI.U	N.light.Tt.obs	N.light.Tt.boot.mean	N.light.Tt.boot.median	N.light.Tt.boot.CI.L	N.light.Tt.boot.CI.U
sip1	NA	NA	NA	NA	NA	NA	NA	NA	487852.134613518	487418.241515618	476285.242448578	225284.60562336	819375.593856579	8130.8689102253	8123.63735859363	7938.08737414297	3754.74342705599	13656.2598976097	NA	T0.18	t48_18O	t72_18O	33412431.0827448	33498382.0968182	33412431.0827448	19980759.505102	46844102.6603877	556873.851379081	558306.368280303	556873.851379081	333012.658418367	780735.044339794	31118212.2602183	31079601.6151684	31118212.2602183	21200597.3339716	43356258.7197753	64530643.3429632	64577983.7119865	64530643.3429632	58484192.2272549	72715608.6392723	none	32924578.9481313	33010963.8553025	33126041.9148782	19311215.0648519	46247647.6967831	548742.982468855	550182.730921709	552100.698581304	321853.584414198	770794.128279718	61115678.4006686	61166056.0213772	61366389.8752896	53003582.0744527	68874931.2969989
sip2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.18	t48_18O	t72_18O	-1017297.07114816	-980354.510722373	-1017297.07114816	-11092145.5985414	7779762.36695911	-16954.9511858026	-16339.2418453729	-16954.9511858026	-184869.093309024	129662.706115985	7256139.91119716	7224379.93741744	7256139.91119716	656056.540109991	16310190.1693604	6238842.840049	6244025.42669507	6238842.840049	0.0277355114256846	10456752.2797158	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip3	NA	NA	NA	NA	NA	NA	NA	NA	189746.212517481	189412.7719325	185225.489009598	15273.8112245871	439176.094677772	3162.43687529136	3156.87953220833	3087.0914834933	254.563520409785	7319.60157796287	NA	T0.18	t48_18O	t72_18O	20482112.3502706	20613056.1201686	20482112.3502706	10147819.4588524	32881992.1340818	341368.539171177	343550.935336143	341368.539171177	169130.324314207	548033.202234697	23280405.7318713	23240584.8016388	23280405.7318713	17833301.0259384	30230467.091942	43762518.082142	43853640.9218074	43762518.082142	34927253.2231719	57477113.8832183	none	20292366.1377531	20423643.3482361	20343911.305511	9817230.41743281	32806581.927213	338206.102295886	340394.055803935	339065.188425184	163620.506957214	546776.36545355	42434294.5945196	42527751.5182799	42439610.7453184	33722490.2857602	55112184.3727326
sip4	NA	NA	NA	NA	NA	NA	NA	NA	64539.3566541946	68773.0441485768	62439.4424016932	20405.7149349513	145826.063367606	1075.65594423658	1146.21740247628	1040.65737336155	340.095248915854	2430.43438946009	NA	T0.18	t48_18O	t72_18O	1123125.10939124	1122821.40171853	1123125.10939124	-9244682.86971828	11810702.0013297	18718.7518231873	18713.6900286421	18718.7518231873	-154078.047828638	196845.033355494	12269920.063399	12251842.3324523	12269920.063399	4875226.88101094	19788130.2739704	13393045.1727903	13374663.7341708	13393045.1727903	7676436.07850501	22722306.8894548	none	1058585.75273704	1054048.35756995	1066310.00833158	-9319009.95311973	11762933.3420559	17643.0958789507	17567.4726261658	17771.833472193	-155316.832551995	196048.889034264	12941269.6762109	12893252.4251307	12881529.6739965	6631964.09595034	22128607.3752867
sip5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	T0.18	t48_18O	t72_18O	951762.963493673	924008.770110112	951762.963493673	-3263266.64391848	5905520.64766286	15862.7160582279	15400.1461685019	15862.7160582279	-54387.7773986413	98425.3441277143	2981335.82011169	2979936.96787981	2981335.82011169	1194845.50255546	4352382.36130421	3933098.78360536	3903945.73798992	3933098.78360536	0.0532161031549385	9487552.01670379	none	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
sip7	NA	NA	NA	NA	NA	NA	NA	NA	195655.729719939	194740.854790883	193758.82581522	91301.4638760428	362072.59182879	3260.92882866565	3245.68091318138	3229.313763587	1521.69106460071	6034.5431971465	NA	T0.18	t48_18O	t72_18O	18140901.397598	18223877.6362781	18485402.0017071	9218086.47063334	26699897.0274732	302348.356626633	303731.293937968	308090.033361785	153634.774510556	444998.28379122	13913010.8811304	13872043.6412465	13913010.8811304	9078124.77406859	22491325.2039859	32053912.2787284	32095921.2775246	32053912.2787284	24429418.8167922	37784663.1677688	none	17945245.667878	18029136.7814872	18183070.7593327	9046264.00578663	26433266.5011987	299087.427797967	300485.613024787	303051.179322211	150771.066763111	440554.441686645	30684322.1706888	30732735.2939884	30798154.0051169	23657411.7086017	35863340.8197668
sip8	NA	NA	NA	NA	NA	NA	NA	NA	140498.086280176	129263.789978712	134173.967559093	-386755.662478628	664344.628223876	2341.63477133626	2154.39649964519	2236.23279265155	-6445.92770797713	11072.4104703979	NA	T0.18	t48_18O	t72_18O	5608177.2451005	5421953.02077251	5608177.2451005	-12834436.8168761	21955483.7193726	93469.620751675	90365.8836795418	93469.620751675	-213907.280281268	365924.72865621	37354499.7530504	37447386.2990793	37354499.7530504	26981331.5062696	54918090.5437697	42962676.9981509	42869339.3198518	42962676.9981509	29773357.9680333	57164441.116463	none	5467679.15882032	5292689.2307938	5614945.534264	-12731166.4369545	22313131.3972262	91127.9859803387	88211.4871798967	93582.4255710667	-212186.107282575	371885.523287103	41979190.3941896	41964492.7900009	41986402.8609229	28962797.8128302	54709602.6305395
sip9	NA	NA	NA	NA	NA	NA	NA	NA	123262.667659435	125074.080754504	122147.209365272	40416.3812404361	260177.046355523	2054.37779432391	2084.56801257506	2035.78682275453	673.606354007268	4336.28410592538	NA	T0.18	t48_18O	t72_18O	14126052.7100102	14232071.1735467	14209163.7435538	2519865.10697844	25325358.6317018	235434.211833503	237201.186225779	236819.395725897	41997.751782974	422089.310528363	17283666.1516996	17231978.529204	17283666.1516996	11355905.7998682	28889853.7547313	31409718.8617097	31464049.7027507	31409718.8617097	22699923.5768922	39013226.487735	none	14002790.0423507	14106997.0927922	14132791.3100122	2336724.40585634	25182611.0466815	233379.834039179	235116.618213204	235546.521833537	38945.4067642723	419710.184111358	30546880.1880937	30588531.1374692	30654143.6811578	22260829.8248534	37543791.0407855
sip13	NA	NA	NA	NA	NA	NA	NA	NA	1509242.55388939	1470104.56318309	1489483.54843775	743466.191783896	2108314.96800884	25154.0425648231	24501.7427197181	24824.7258072958	12391.1031963983	35138.5828001473	NA	T0.18	t48_18O	t72_18O	79855104.1081277	79178063.6364281	79855104.1081277	-5183025.96365182	180531623.683367	1330918.40180213	1319634.39394047	1330918.40180213	-86383.7660608637	3008860.39472279	91528767.4960918	91660440.8144358	91528767.4960918	46182430.9655498	127150983.033375	171383871.60422	170838504.450864	171383871.60422	98884905.2113075	281757226.60242	none	78345861.5542383	77707959.073245	78038555.5928858	-6612688.4762031	179178677.206044	1305764.35923731	1295132.65122075	1300642.59321476	-110211.474603385	2986311.28676739	160819173.726994	160547772.508582	160380273.768777	91152510.8211748	269575458.692628
sip15	NA	NA	NA	NA	NA	NA	NA	NA	140418.130897798	143550.476528898	136589.587906135	13015.2053220916	323425.332032605	2340.30218162997	2392.5079421483	2276.49313176891	216.920088701526	5390.42220054342	NA	T0.18	t48_18O	t72_18O	10621790.6754778	10716884.0735439	10821907.1768286	-1090895.76807649	20602112.2904972	177029.844591297	178614.734559066	180365.11961381	-18181.5961346081	343368.538174954	10770831.4755638	10750284.0839919	10770831.4755638	8137356.08064354	14686116.4158264	21392622.1510417	21467168.1575359	21392622.1510417	8231178.03802769	31623382.547903	none	10481372.54458	10573333.597015	10613748.3365853	-1133838.21385632	20430220.5932976	174689.542409667	176222.226616917	176895.805609755	-18897.303564272	340503.676554961	20409695.2347571	20462314.8218336	20613511.6840451	7754113.38182822	29942344.731252
