Metabolism,Shared,Shared2,KO,Name
,nadh reductase,"NAD(P)H Quinone oxidored, chloroplasts and cyano",k05577,ndhF; NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2]
,nadh reductase,"NAD(P)H Quinone oxidored, chloroplasts and cyano",k05575,ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]
,nadh reductase,"NAD(P)H Quinone oxidored, chloroplasts and cyano",k05573,ndhB; NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]
,nadh reductase,"NAD(P)H Quinone oxidored, chloroplasts and cyano",k05583,ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]
,nadh reductase,"NAD(P)H Quinone oxidored, chloroplasts and cyano",k05584,ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]
,nadh reductase,"NAD(P)H Quinone oxidored, chloroplasts and cyano",k05585,ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]
,nadh reductase,"NAD(P)H Quinone oxidored, chloroplasts and cyano",k05586,hoxE; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
,nadh reductase,"NAD(P)H Quinone oxidored, chloroplasts and cyano",k05587,hoxF; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
,nadh reductase,"NAD(P)H Quinone oxidored, chloroplasts and cyano",k05588,hoxU; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
,nadh reductase,"NADH dehydr, 1 alpha subcompl",K03945,NDUFA1; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 1
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k03946,NDUFA2; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k03947,NDUFA3; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 3
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k03948,NDUFA4; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 4
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k03949,NDUFA5; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 5
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k03950,NDUFA6; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k03951,NDUFA7; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 7
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k03952,NDUFA8; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k03953,NDUFA9; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 9
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k03954,NDUFA10; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 10
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k03955,"NDUFAB1; NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein"
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k03956,NDUFA11; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k11352,NDUFA12; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 12
,nadh reductase,"NADH dehydr, 1 alpha subcompl",k11353,NDUFA13; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03957,NDUFB1; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 1
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03958,NDUFB2; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 2
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03959,NDUFB3; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 3
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03960,NDUFB4; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 4
,nadh reductase,"NADH dehydr, 1 beta subcompl",k03961,NDUFB5; NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit 5
