Metabolism,Shared,Shared2,KO,Name
anaerobic metabolism,to acetate,2,k18118,"aarC, cat1; succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]"
anaerobic metabolism,shared,acetate/butanol,k18366,"bphJ, xylQ, nahO, tesF; acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87]"
anaerobic metabolism,to propionate,1,k18472,accD6; acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
anaerobic metabolism,to alcohol,2,k18857,ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1]
anaerobic metabolism,to propionate,1,k19312,pccB; acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
anaerobic metabolism,to propionate,4,k19697,pduW; propionate kinase [EC:2.7.2.15]
anaerobic metabolism,shared,butyrate/acetone,k19709,ydiF; acetate CoA-transferase [EC:2.8.3.8]
anaerobic metabolism,to propionate,3,k19745,acuI; acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]
anaerobic metabolism,to propionate,3,k20143,acrC; acrylyl-CoA reductase (NADH) [EC:1.3.1.95]
anaerobic metabolism,shared,acetate/propionate,k22224,acdB; acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]
"aerobic consumption, irreversable",from alcohol,,k22473,"adhA; alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]"
"aerobic consumption, irreversable",from alcohol,,k22474,"adhB; alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]"
anaerobic metabolism,to propionate,1,k22568,"pccX; acetyl-CoA/propionyl-CoA carboxylase, PccX subunit [EC:6.4.1.2 6.4.1.3]"
anaerobic metabolism,to propionate,2,k23146,HPD1; 3-hydroxypropionate dehydrogenase [EC:1.1.1.59]
"aerobic consumption, irreversable",from butyrate,,k23756,"ACSM1, LAE; medium-chain acyl-CoA ligase / lipoate-activating enzyme [EC:6.2.1.2]"
anaerobic metabolism,shared,acetate/propionate,k24012,
