"","b.boot.median","d.boot.median"
"x100_t168",138491655.771798,-172014243.595612
"x100_t24",185013654.683229,-275936997.72629
"x100_t3",1685574197.62584,-7832094034.68314
"x100_t48",386256970.72064,-320797759.874215
"x100_t72",211316041.248367,-143542090.16337
"x50_t168",50275949.2765502,-6016443.20408538
"x50_t24",190585420.201524,-2670582.42472649
"x50_t3",181704184.284165,-108455560.383713
"x50_t48",70699674.571469,-7545360.83894592
"x50_t72",106884739.112512,-1077887.49488551
