"","genus","time_moisture","b.boot.median","d.boot.median"
"376","g_unclassified_Nocardioidaceae","x100_t72",182779.520692265,-390721.678379848
"377","g_unclassified_Opitutaceae","x100_t48",397042.422580008,-918926.835329118
"378","g_unclassified_Opitutaceae","x100_t72",227632.51043794,-352661.790641804
"379","g_unclassified_Oxalobacteraceae","x100_t168",704995.403131765,-833212.900552602
"380","g_unclassified_Oxalobacteraceae","x100_t3",13881915.5262771,-48078725.6444289
"381","g_unclassified_Oxalobacteraceae","x100_t48",4456625.57526104,-739045.517370659
"382","g_unclassified_Oxalobacteraceae","x100_t72",2642872.59079976,-1587200.2006364
"383","g_unclassified_Oxalobacteraceae","x50_t3",2064754.71733524,-833479.00701264
"384","g_unclassified_Paenibacillaceae 2","x100_t72",183847.959402628,-137509.098421207
"385","g_unclassified_Planctomycetaceae","x100_t168",383817.492133507,-1160111.51565668
"386","g_unclassified_Planctomycetaceae","x100_t24",237793.706637088,-2479311.5464939
"387","g_unclassified_Planctomycetaceae","x100_t3",4830067.31961957,-11175774.8133524
"388","g_unclassified_Planctomycetaceae","x100_t48",594514.731037363,-2256749.81740396
"389","g_unclassified_Planctomycetaceae","x100_t72",248458.70629439,-2205124.1465208
"390","g_unclassified_Planctomycetaceae","x50_t168",135474.448926528,-63747.3722769602
"391","g_unclassified_Planctomycetaceae","x50_t48",220843.055486558,-249805.307921087
"392","g_unclassified_Planococcaceae","x100_t168",3618020.53523163,-2721972.65695997
"393","g_unclassified_Planococcaceae","x100_t3",138954522.460108,-41798475.6568139
"394","g_unclassified_Pseudonocardiaceae","x100_t24",148306.286646623,-2057736.06202897
"395","g_unclassified_Pseudonocardiaceae","x100_t3",3216816.8317366,-19482719.5355996
"396","g_unclassified_Pseudonocardiaceae","x100_t48",390560.175921432,-1589422.4958003
"397","g_unclassified_Pseudonocardiaceae","x100_t72",119308.960159119,-671119.858137665
"398","g_unclassified_Rhizobiales","x100_t168",1256979.06393841,-2678801.83086095
"399","g_unclassified_Rhizobiales","x100_t24",109728.499441122,-4474889.61608775
"400","g_unclassified_Rhizobiales","x100_t3",6504025.55764258,-93103346.7720386
"401","g_unclassified_Rhizobiales","x100_t48",2546123.68367033,-4770723.41827928
"402","g_unclassified_Rhizobiales","x100_t72",666270.39373371,-1176863.17241991
"403","g_unclassified_Rhizobiales","x50_t3",2030501.01461969,-379559.59909803
"404","g_unclassified_Rhizobiales","x50_t48",671829.559257796,-17564.247904544
"405","g_unclassified_Rhodocyclaceae","x100_t168",589647.029530614,-774581.31555805
"406","g_unclassified_Rhodocyclaceae","x100_t24",389482.440211478,-2053459.79938046
"407","g_unclassified_Rhodocyclaceae","x100_t3",8261169.86744333,-36410163.7507282
"408","g_unclassified_Rhodocyclaceae","x100_t48",1031253.205047,-2028176.95034117
"409","g_unclassified_Rhodocyclaceae","x100_t72",670118.340640785,-503030.85582968
"410","g_unclassified_Rhodospirillaceae","x100_t168",106366.627956199,-332714.334593048
"411","g_unclassified_Rhodospirillaceae","x100_t48",258236.742923813,-31028.6708212898
"412","g_unclassified_Rhodospirillaceae","x100_t72",227129.370478779,-133779.957917082
"413","g_unclassified_Solirubrobacterales","x100_t168",150695.121454086,-7808160.72449048
"414","g_unclassified_Solirubrobacterales","x100_t24",57053.5067923464,-23066148.370367
"415","g_unclassified_Solirubrobacterales","x100_t3",20444940.581043,-329773919.412377
"416","g_unclassified_Solirubrobacterales","x100_t48",2464813.52681155,-21204450.649951
"417","g_unclassified_Solirubrobacterales","x100_t72",641238.475177181,-11683168.9567513
"418","g_unclassified_Solirubrobacterales","x50_t168",410622.76193629,-1253331.47734006
"419","g_unclassified_Solirubrobacterales","x50_t3",754946.866867496,-15084978.8298784
"420","g_unclassified_Solirubrobacterales","x50_t48",683715.31074022,-607985.945255421
"421","g_unclassified_Spartobacteria","x100_t168",160396.726106891,-169376.638975811
"422","g_unclassified_Spartobacteria","x100_t48",421786.926026623,-1340634.25122966
"423","g_unclassified_Spartobacteria","x100_t72",273395.330237905,-887167.603231172
"424","g_unclassified_Sphingomonadaceae","x50_t3",9832489.07239189,-68141.4925500639
"425","g_unclassified_Verrucomicrobia","x100_t168",71224.5961756567,-246994.45314763
"426","g_unclassified_Verrucomicrobia","x50_t48",77821.2865523733,-22573.1836300837
