"","genus","time_moisture","b.boot.median","d.boot.median"
"94","g_Gp6","x100_t72",1958173.22589854,-3992867.91393592
"95","g_Gp6","x50_t168",658685.723568306,-55278.0823946771
"96","g_Gp6","x50_t24",16845.2951301562,-275859.781989786
"97","g_Gp6","x50_t72",1441088.31362558,-65388.5357579318
"98","g_Gp7","x100_t168",590771.013836566,-999553.742583932
"99","g_Gp7","x100_t24",1074071.27183374,-52238.355544249
"100","g_Gp7","x50_t72",642741.10550713,-213262.635049212
"101","g_Granulicella","x100_t168",1990942.53510723,-1688463.26172352
"102","g_Granulicella","x100_t24",464160.247882873,-4590164.24327418
"103","g_Granulicella","x100_t3",11177649.6099403,-92139992.0207285
"104","g_Granulicella","x100_t48",2528367.63641972,-2762543.54145558
"105","g_Granulicella","x100_t72",2890030.55718107,-1634145.23303138
"106","g_Halomonas","x100_t168",22981538.0446552,-20349501.9391334
"107","g_Halomonas","x100_t24",10776555.8275061,-6016889.04351145
"108","g_Halomonas","x100_t3",266863329.580818,-1079675077.96823
"109","g_Halomonas","x100_t48",54946651.1396427,-28975903.8528969
"110","g_Hymenobacter","x100_t168",4192602.04131785,-2348031.69970399
"111","g_Hymenobacter","x100_t24",4572451.21431252,-5324457.88315799
"112","g_Hymenobacter","x100_t3",51132658.4714382,-157296545.24842
"113","g_Hymenobacter","x100_t48",7225595.1998542,-5157533.05308446
"114","g_Kineosporia","x100_t168",163201.462212091,-1047970.51874923
"115","g_Kineosporia","x100_t3",613194.646337102,-70600664.8320935
"116","g_Kineosporia","x100_t48",231522.196896209,-3817042.6845109
"117","g_Kineosporia","x100_t72",145126.814811997,-2203592.71491842
"118","g_Kineosporia","x50_t168",176581.697523858,-309623.808247595
"119","g_Kineosporia","x50_t3",603221.64503606,-19376131.3724664
"120","g_Kineosporia","x50_t48",97814.3299356843,-444665.535730468
"121","g_Kribbella","x100_t48",828125.366538348,-2758410.06824689
"122","g_Ktedonobacter","x100_t168",132653.64528367,-94306.4786357655
"123","g_Ktedonobacter","x100_t24",54620.3140168974,-191098.256370523
"124","g_Ktedonobacter","x100_t3",4003008.20819501,-6577842.54751708
"125","g_Ktedonobacter","x100_t48",655721.728997961,-747166.724941092
"126","g_Labilithrix","x100_t168",75570.2026879892,-548476.539894716
"127","g_Luteimonas","x50_t168",234525.891254589,-68327.714709481
"128","g_Marmoricola","x100_t168",953463.739628306,-2100752.8893937
"129","g_Marmoricola","x100_t24",361780.033879471,-7742634.49483181
"130","g_Marmoricola","x100_t3",22274024.4338455,-127021023.088469
"131","g_Marmoricola","x100_t48",4828663.90234598,-11519282.8895491
"132","g_Marmoricola","x100_t72",1418596.96662392,-2944299.92402156
"133","g_Marmoricola","x50_t48",990393.299755575,-466949.22566389
"134","g_Methylobacterium","x100_t168",95042.0932722243,-216281.713694212
"135","g_Methylobacterium","x100_t48",592346.595457747,-265466.735907426
"136","g_Micrococcus","x100_t168",44345.999542725,-34993.0478772169
"137","g_Micrococcus","x100_t3",560364.992251785,-5329526.64808472
"138","g_Micrococcus","x100_t48",554340.815687342,-776162.943994014
"139","g_Micromonospora","x100_t168",78994.7145802932,-171966.24286816
"140","g_Microvirga","x100_t168",453559.934706098,-830779.006226217
"141","g_Modestobacter","x100_t168",146930.429743196,-164365.95436861
"142","g_Modestobacter","x50_t72",152902.78436263,-44763.1286086531
"143","g_Mycobacterium","x100_t168",277931.829920833,-1385772.86826523
"144","g_Mycobacterium","x100_t24",671503.348163674,-1687016.76175941
"145","g_Mycobacterium","x100_t3",7906808.96706608,-54683859.9279095
"146","g_Mycobacterium","x100_t48",203940.024397228,-2047287.09022486
"147","g_Mycobacterium","x100_t72",144759.848237875,-1710107.4019448
"148","g_Mycobacterium","x50_t168",82016.6372567849,-150505.610267769
"149","g_Neisseria","x100_t168",582540.3657168,-317187.214831085
"150","g_Neisseria","x100_t24",246674.72359194,-98250.9151652575
"151","g_Neisseria","x100_t3",5688258.1764448,-22767281.4477469
"152","g_Neisseria","x100_t48",1124438.10779887,-736633.491202157
"153","g_Neisseria","x100_t72",864303.40573223,-158794.682092403
"154","g_Nitrososphaera","x100_t3",2687159.4030268,-14060558.8286626
"155","g_Nitrososphaera","x100_t72",164217.54113699,-130930.571981666
"156","g_Nitrospira","x100_t168",5019.57870792681,-186503.156136926
"157","g_Nitrospira","x100_t3",109471.585883518,-7761770.30982003
